FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p257_390.wav,1.537,,7.044,-2.355,0.653,1.551,,2.929,2.742,3.669,2.929,3.332,3.792,3.456,4.541,3.467,2.724,0.0
p257_391.wav,2.307,,1.837,-2.341,0.642,1.495,2.66,3.21,2.764,3.207,3.631,3.289,3.188,3.96,3.965,2.695,2.17,0.333
p257_392.wav,2.437,,16.815,7.835,0.907,2.672,3.24,3.071,2.856,3.173,3.862,3.698,3.667,4.294,4.061,2.999,2.728,0.0
p257_393.wav,2.348,,11.592,3.477,0.857,1.99,3.71,3.178,3.328,3.696,3.923,3.533,4.123,3.937,4.022,3.443,3.163,0.0
p257_394.wav,2.883,,6.82,-1.27,0.906,1.889,3.71,2.994,3.156,3.618,3.717,3.998,3.729,3.69,4.236,3.566,3.112,0.0
p257_395.wav,2.347,,1.29,-8.696,0.559,1.222,2.62,2.404,1.724,2.747,1.741,2.978,3.405,3.572,3.729,2.701,2.008,0.0
p257_396.wav,1.724,,15.693,8.017,0.935,3.253,,3.399,2.802,3.118,3.904,3.721,4.092,3.741,4.253,3.37,2.99,0.25
p257_397.wav,1.88,,10.356,1.038,0.917,3.214,,3.425,3.086,3.419,3.997,3.552,3.809,3.651,4.389,3.841,3.411,0.0
p257_398.wav,1.58,,5.476,-3.132,0.725,1.299,,2.826,2.954,3.384,3.822,4.005,3.662,3.748,3.804,3.275,2.517,0.0
p257_399.wav,2.785,,1.782,-5.509,0.926,2.007,3.7,3.381,2.881,3.501,3.358,3.694,3.678,3.196,4.534,3.595,2.722,0.0
p257_400.wav,1.904,,18.414,9.488,0.798,2.455,,3.352,3.122,3.539,3.792,3.164,4.506,3.86,4.094,3.821,3.153,0.0
p257_401.wav,1.774,,11.798,1.929,0.746,1.259,,3.193,3.1,3.59,3.645,4.108,2.958,3.587,3.615,3.304,3.1,0.333
p257_402.wav,3.001,,6.982,2.193,0.839,1.854,3.71,3.574,3.05,3.55,3.712,4.106,3.207,4.085,4.128,3.2,2.841,0.0
p257_403.wav,2.122,,1.284,-7.889,0.74,1.447,,3.19,2.756,3.43,3.243,3.277,3.96,3.252,4.295,2.923,2.338,0.0
p257_404.wav,2.41,,15.006,6.606,0.816,3.469,4.47,3.215,3.016,3.318,3.94,3.853,2.942,4.285,3.994,3.011,2.695,0.0
p257_405.wav,2.053,,10.658,-1.039,0.83,2.518,,3.259,3.251,3.565,4.005,3.386,3.781,4.176,4.625,3.856,3.288,0.0
p257_406.wav,2.8,,6.494,0.537,0.928,3.27,4.6,3.321,3.199,3.58,3.903,3.741,3.211,3.679,3.882,3.639,3.26,0.0
p257_407.wav,2.519,,1.312,-5.394,0.889,1.639,3.74,3.695,2.883,3.313,3.789,2.803,4.234,3.616,3.506,3.518,2.475,0.143
p257_408.wav,2.38,,17.733,7.646,0.807,2.023,3.43,3.01,3.085,3.455,3.766,3.379,3.903,4.149,4.544,3.3,2.925,0.0
p257_409.wav,1.882,,11.337,-0.798,0.746,2.012,,3.17,3.03,3.426,3.783,3.652,3.459,3.994,3.819,2.875,2.379,0.0
p257_410.wav,3.581,,6.804,0.758,0.826,1.32,2.67,3.17,3.044,3.389,3.89,3.438,3.365,3.76,4.428,3.334,2.65,0.333
p257_411.wav,3.171,,2.099,-1.817,0.751,1.14,2.68,2.896,2.778,3.608,3.02,2.971,3.156,3.484,4.082,2.426,1.799,0.0
p257_412.wav,1.907,,15.77,4.8,0.898,2.763,,3.215,3.355,3.63,4.138,3.761,3.847,4.051,4.248,3.627,3.397,0.0
