                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.009  5.820  -3.137  4.693  9.491  14.449  25.426
SSNR                      824.0  0.517  6.346 -16.791 -4.447  0.532   5.544  17.036
ESTOI                     824.0  0.824  0.132   0.279  0.751  0.853   0.929   0.999
PESQ_WB                   824.0  2.203  0.768   1.039  1.494  2.170   2.805   4.241
POLQA_WB                  470.0  3.392  0.762   1.500  2.842  3.480   3.940   4.750
DNSMOS_P808               824.0  3.267  0.366   2.152  3.038  3.278   3.551   4.102
DNSMOS_OVRL               824.0  2.879  0.404   1.098  2.759  2.977   3.126   3.478
DNSMOS_SIG                824.0  3.411  0.341   1.191  3.365  3.489   3.576   3.792
DNSMOS_BAK                824.0  3.474  0.606   1.106  3.286  3.658   3.888   4.177
MOS_COL                   824.0  3.551  0.473   1.470  3.209  3.582   3.900   4.687
MOS_DISC                  824.0  3.636  0.480   2.260  3.304  3.624   3.980   4.824
MOS_LOUD                  824.0  3.700  0.360   2.534  3.453  3.706   3.938   4.618
MOS_REVERB                824.0  4.070  0.382   2.852  3.798  4.077   4.345   4.887
MOS_SIG                   824.0  3.217  0.427   2.045  2.925  3.214   3.525   4.534
MOS_OVRL                  824.0  2.774  0.484   1.527  2.404  2.808   3.138   4.198
WER_QuartzNet15x5Base-En  824.0  0.080  0.155   0.000  0.000  0.000   0.111   1.000
