filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_006.wav,5.1035,16000,1,3.5921423,3.9333572,4.01558,3.179846838416608,3.5080739013712625,3.942500584868646,4.065834
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_015.wav,5.3199375,16000,1,4.024558,4.2521315,4.3748794,3.4393382926691087,3.6781339846546137,4.123728480618277,4.0186005
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_023.wav,9.768875,16000,1,2.8698075,4.123986,2.5339355,2.6899370385005414,3.6118219603436175,2.836026539744277,3.1602552
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_014.wav,4.616875,16000,1,2.9035318,4.111115,2.647781,2.7143812332909962,3.605009255970807,2.9415480102726224,3.0795493
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_002.wav,2.7151875,16000,1,3.7366529,4.2739387,3.7667563,3.269382320065299,3.6891440381404794,3.7970720803522315,3.6443868
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_031.wav,2.2903125,16000,1,3.5019667,3.9187512,3.9480393,3.1225440872910943,3.499872981257755,3.9046375513815708,3.6287758
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_034.wav,1.472,16000,2,3.076611,4.077985,3.01931,2.83734281083706,3.58727868841742,3.2621271450383276,3.2640338
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_017.wav,2.8893125,16000,2,3.4219012,3.7861228,3.9310153,3.0706863404834497,3.423428649440469,3.894553921375977,3.4402776
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_016.wav,5.5693125,16000,2,3.7427206,4.2121744,3.9220753,3.2730045280734945,3.657744034765879,3.8884340126162624,4.100086
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_022.wav,5.7939375,16000,2,3.5220165,4.208982,3.4741652,3.135353742413815,3.6561109808302357,3.6048569766104563,3.4993682
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_010.wav,2.764375,16000,2,2.2526283,3.772109,1.865645,2.2153627978301245,3.4155504098333855,2.14769661761294,3.0266948
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_042.wav,2.5135625,16000,1,3.8004003,4.104937,4.252231,3.307980503410702,3.601729316258948,4.065687266194096,4.0085864
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_024.wav,5.5204375,16000,2,3.8056574,4.1653233,4.0201173,3.3110613637134456,3.633513467652494,3.944229395105966,3.9750047
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_036.wav,2.843375,16000,2,1.0383978,1.1185727,1.0806315,1.1313610883823884,1.265768296035152,1.1890891850188372,2.8081157
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_005.wav,6.246625,16000,3,2.7007246,4.0637608,2.3102462,2.5650598385524774,3.579698760130474,2.6187306216658572,3.4263382
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_033.wav,1.4479375,16000,2,2.9098349,3.7468643,3.0471015,2.718929138896793,3.4006476930833047,3.284686456794927,3.2086196
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_045.wav,1.2375625,16000,1,3.399643,3.6637228,4.1520915,3.0561889394892416,3.3509062239984697,4.01536035948887,3.3095984
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_035.wav,3.1585,16000,3,2.9603946,4.1115537,2.7348719,2.755106132300418,3.605221929376073,3.019741615003694,2.971289
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_001.wav,1.7413125,16000,4,3.7645044,4.0801616,4.2560377,3.286294077501097,3.5884372948910297,4.06751939505045,3.652979
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_003.wav,7.184875,16000,5,3.529398,3.9706733,3.8646092,3.139762524677935,3.528644322887564,3.8534048486360377,3.8312683
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_019.wav,6.7355625,16000,4,3.4937673,4.167099,3.5267982,3.1168057044168624,3.633920498179693,3.640834180850525,3.5681593
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_011.wav,6.538125,16000,4,3.6120124,4.2183113,3.5731504,3.1918442720115845,3.6608557982182894,3.670260142165845,3.9613364
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_046.wav,1.4159375,16000,2,2.8696215,3.5625908,3.143847,2.6897722670058855,3.288489175218383,3.3614069717505313,3.0104914
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_044.wav,1.3833125,16000,2,2.2827892,3.3317223,2.2658658,2.2397778312842616,3.1404865503296304,2.5734798230860827,3.2795177
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_032.wav,3.4900625,16000,4,2.8859377,4.131916,2.6731663,2.7009979779933504,3.6156704930761654,2.9634782807888187,3.0656562
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_051.wav,1.47625,16000,2,3.0535462,3.8870296,3.0908885,2.8208804095335682,3.4811667863743976,3.3197445097224154,3.05988
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_049.wav,2.941125,16000,2,3.7806115,4.1515293,4.0357,3.295977394553589,3.6262979739175876,3.9528579194688267,3.905754
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_029.wav,3.4153125,16000,4,3.4523227,3.9000058,3.7688923,3.0902268586624184,3.489257431707358,3.7970203615130975,3.9588494
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_020.wav,3.6166875,16000,5,3.6859443,4.027707,4.0519266,3.2381851080316806,3.560148005080798,3.962008694050053,3.8380775
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_059.wav,1.3204375,16000,1,3.2853913,3.659103,4.016378,2.980424542333111,3.3481069655457785,3.942940619955878,3.1230803
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_060.wav,2.34,16000,1,3.025191,3.5563033,3.4791222,2.8012837352053195,3.2848911598029473,3.6086434080269623,3.0469768
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_013.wav,3.9434375,16000,6,3.086868,4.0781674,2.9502563,2.8445199862677053,3.587423916089001,3.2051100466185347,3.4255831
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_025.wav,1.8756875,16000,6,3.9643595,4.2127666,4.327189,3.404613949452237,3.6579321996340455,4.101478571557397,3.8034189
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_063.wav,2.2636875,16000,1,3.2650619,3.9590814,3.3535979,2.96675820537832,3.522430292391637,3.519584112286284,3.2261949
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_027.wav,3.7711875,16000,6,3.5901835,4.079463,3.8335912,3.178526077035178,3.5880887754612973,3.836874548729831,3.8824377
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_030.wav,3.8489375,16000,6,3.4380944,3.9275134,3.7134292,3.0790861622833483,3.504406155910793,3.753486548483428,3.8483808
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_037.wav,3.856,16000,6,3.9129174,4.130668,4.379085,3.374670140323014,3.6153203154510494,4.125022828991162,3.8241608
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_062.wav,2.964,16000,2,3.5883512,4.0993257,3.7361104,3.177459958126727,3.5986559764763832,3.7780324865933945,3.6219382
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_050.wav,1.733375,16000,4,3.0340247,3.4318578,3.683427,2.807404602368197,3.205899343599698,3.7445014696457752,3.1413786
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_039.wav,1.94,16000,6,2.8511765,3.511977,3.3343937,2.6763185663525726,3.257059212299143,3.5055812505777695,3.1691322
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_067.wav,2.6171875,16000,1,3.5655222,3.8759124,4.098771,3.1630453488747747,3.475613364121277,3.9874858737703134,3.5987961
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_053.wav,1.644,16000,4,3.4744627,3.7458375,4.2022347,3.104583428854924,3.399910228528787,4.039954861085956,3.7740595
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_055.wav,1.52575,16000,3,2.9653728,3.8188274,2.9815788,2.7585350499657486,3.442216137659243,3.2308855591752614,3.2466662
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_021.wav,8.5095,16000,8,3.606818,4.0457773,3.7997968,3.1889775652698718,3.569911800687932,3.8169584309281896,4.055079
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_069.wav,2.6688125,16000,1,3.6118448,4.0338454,3.8878803,3.1922204110866184,3.5635244252465683,3.86990125913961,3.9138
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_068.wav,2.5223125,16000,1,3.2515545,3.9883978,3.2573066,2.957647054976598,3.538655984060056,3.448453268464857,3.6141286
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_009.wav,4.157625,16000,7,3.347303,3.8399475,3.6523614,3.021461873745223,3.454882171272646,3.723486777061671,3.7601027
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_070.wav,2.543875,16000,1,3.5337162,4.0593467,3.7652445,3.142845041420789,3.577326510548109,3.796138649648343,3.6654017
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_071.wav,2.5885625,16000,1,3.3595316,4.133315,3.242603,3.0297908966007476,3.61674271918501,3.4373768286929858,3.1138735
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_061.wav,3.248625,16000,3,3.8364503,4.187407,4.0872493,3.329393508645022,3.644955409466015,3.9799842050716934,3.929301
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_028.wav,2.0649375,16000,7,2.825798,3.760401,2.8393273,2.657569307069392,3.4086067855291544,3.1101911905654496,3.4046009
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_012.wav,4.335625,16000,8,3.6409855,4.1138086,3.8340065,3.2103220003542674,3.606366179724443,3.836356724749293,3.676901
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_054.wav,3.70625,16000,5,3.0645182,4.2071123,2.906094,2.8284225999228374,3.654847688280404,3.1673775236875517,3.5505059
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_048.wav,1.8196875,16000,5,3.0908833,4.0419617,3.0601466,2.84735232451408,3.567901768596265,3.294943533634612,3.6174304
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_075.wav,2.3465,16000,1,2.919912,4.126949,2.692979,2.7261985456698303,3.6133864166182272,2.982495016562143,3.114784
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_079.wav,2.394375,16000,1,3.3104646,3.9531255,3.4771664,2.9972028457471045,3.519116234593094,3.607287628216562,3.7730575
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_078.wav,2.2605625,16000,1,3.5165968,3.905341,3.992795,3.1319156597654474,3.4923118516086373,3.9298616109852036,3.7177086
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_038.wav,2.0905,16000,7,3.4637742,3.9493697,3.8102334,3.097714806127585,3.5168510419862,3.8231815551434694,3.694124
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_065.wav,1.5235,16000,3,3.1943142,3.3890762,4.220074,2.918658713159688,3.1779036529933293,4.049350234888871,3.4441023
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_040.wav,1.8975,16000,6,3.4116085,3.9839046,3.593765,3.0636258371889085,3.535973721946085,3.6853311307851513,3.2544572
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_007.wav,3.955875,16000,6,3.3986056,4.1262383,3.3081162,3.05457037661457,3.6128357439393812,3.4836791549917465,3.8211403
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_047.wav,1.9265,16000,6,3.2291,3.8667948,3.4567585,2.9422425881018612,3.470039134297689,3.5923320333042548,3.0750926
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_041.wav,2.0074375,16000,7,3.453883,3.9773118,3.6545842,3.0913450819890556,3.5323493967334794,3.7232960157929953,3.5188727
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/50k/p232_043.wav,1.9603125,16000,6,3.7126436,4.09806,4.042789,3.254554454056454,3.597909301256695,3.9567520239687615,2.961033
