                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.151  5.911  -3.119  4.234  10.006  14.612  24.418
SSNR                      824.0  0.714  6.463 -16.679 -4.209   0.688   6.093  16.329
ESTOI                     824.0  0.815  0.144   0.281  0.734   0.849   0.929   0.999
PESQ_WB                   824.0  2.224  0.786   1.033  1.458   2.204   2.871   4.353
POLQA_WB                  470.0  3.383  0.816   1.350  2.790   3.525   4.020   4.750
DNSMOS_P808               824.0  3.240  0.404   2.076  2.985   3.257   3.560   4.152
DNSMOS_OVRL               824.0  2.813  0.502   1.091  2.701   2.956   3.125   3.473
DNSMOS_SIG                824.0  3.341  0.467   1.183  3.337   3.476   3.567   3.769
DNSMOS_BAK                824.0  3.391  0.738   1.091  3.169   3.660   3.900   4.164
MOS_COL                   824.0  3.545  0.498   2.082  3.155   3.598   3.907   4.797
MOS_DISC                  824.0  3.601  0.500   2.204  3.238   3.615   3.959   4.843
MOS_LOUD                  824.0  3.698  0.382   2.683  3.432   3.718   3.968   4.656
MOS_REVERB                824.0  4.065  0.400   2.883  3.754   4.099   4.378   4.946
MOS_SIG                   824.0  3.247  0.443   2.072  2.940   3.254   3.572   4.717
MOS_OVRL                  824.0  2.768  0.519   1.435  2.366   2.818   3.171   4.565
WER_QuartzNet15x5Base-En  824.0  0.078  0.159   0.000  0.000   0.000   0.100   1.000
