FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p257_204.wav,1.589,,15.1,5.036,0.869,3.461,,2.798,2.647,2.977,3.887,3.686,3.78,3.484,3.682,3.486,3.25,0.0
p257_205.wav,2.25,,10.335,0.974,0.813,3.059,4.53,3.294,2.79,3.275,3.572,3.882,3.139,3.198,3.932,3.773,3.425,0.0
p257_206.wav,2.966,,6.407,1.126,0.87,2.566,4.01,3.228,3.087,3.592,3.601,4.079,4.807,3.755,4.137,3.413,3.26,0.0
p257_207.wav,3.53,,1.514,-6.254,0.81,1.412,2.86,2.963,2.711,3.629,2.902,2.455,2.929,3.337,3.821,2.505,2.349,0.0
p257_208.wav,1.752,,15.631,5.075,0.654,1.162,,2.778,3.002,3.628,3.44,3.526,2.691,3.614,3.654,3.033,2.628,0.4
p257_209.wav,1.819,,10.516,1.77,0.701,1.612,,2.901,2.337,3.28,2.602,2.845,3.669,3.481,3.972,3.141,2.464,0.0
p257_210.wav,2.513,,5.832,-4.684,0.544,1.122,2.61,2.792,2.44,3.523,2.599,3.734,3.142,3.546,3.741,2.907,2.155,0.0
p257_211.wav,1.924,,1.124,-10.716,0.341,1.104,,2.217,1.138,1.318,1.137,2.215,3.108,2.991,3.618,2.643,1.541,0.429
p257_212.wav,2.578,,16.838,6.851,0.884,1.919,2.48,2.684,2.582,3.428,2.895,3.203,3.451,2.975,4.543,2.603,2.399,0.125
p257_213.wav,1.698,,9.619,-3.622,0.502,1.549,,2.551,2.439,3.291,2.747,3.168,4.031,3.302,4.135,3.221,2.742,0.0
p257_214.wav,2.606,,6.059,-6.351,0.383,1.048,2.09,2.361,2.372,3.422,2.516,3.088,2.6,3.372,4.036,2.681,2.063,0.667
p257_215.wav,1.953,,1.53,-7.963,0.584,1.175,,2.808,1.122,1.371,1.424,2.819,3.097,3.296,3.634,2.762,2.128,0.0
p257_216.wav,3.138,,16.383,9.977,0.936,2.99,4.3,3.457,3.214,3.572,3.924,3.831,3.535,3.575,4.369,3.628,3.5,0.091
p257_217.wav,2.736,,11.45,5.097,0.918,2.694,3.88,3.294,3.2,3.519,4.001,3.536,3.516,3.956,4.371,2.934,2.515,0.111
p257_218.wav,2.268,,6.006,-2.142,0.777,2.048,2.91,2.943,3.187,3.588,3.894,3.052,3.796,3.564,4.323,3.107,2.643,0.2
p257_219.wav,3.032,,2.112,-3.087,0.789,1.72,3.13,3.311,3.088,3.565,3.737,2.723,2.246,3.677,4.181,2.422,1.881,0.077
p257_220.wav,1.847,,14.941,2.261,0.824,2.23,,2.766,2.841,3.295,3.622,3.312,3.64,4.134,3.889,2.947,2.791,0.0
p257_221.wav,2.03,,11.517,4.429,0.828,1.537,,3.201,3.313,3.76,3.873,4.213,2.907,3.961,4.281,2.89,2.491,0.0
p257_222.wav,2.321,,5.803,-1.734,0.67,1.301,2.93,3.079,2.669,3.271,3.282,2.922,2.717,4.005,3.904,2.679,2.198,0.0
p257_223.wav,4.251,,1.742,-3.133,0.774,1.217,2.56,2.907,2.799,3.595,3.034,3.257,2.405,3.54,3.685,2.925,1.941,0.0
p257_224.wav,3.075,,16.787,10.59,0.986,3.948,4.34,3.641,3.041,3.357,3.976,3.552,3.427,3.666,4.494,3.329,3.216,0.0
p257_225.wav,2.278,,11.527,5.075,0.939,3.351,4.16,3.212,2.964,3.324,3.828,3.605,3.671,4.415,4.5,3.591,3.079,0.25
p257_226.wav,1.984,,5.745,-4.129,0.862,2.629,,3.159,2.911,3.356,3.736,3.274,3.613,3.771,3.616,3.351,2.876,0.0
p257_227.wav,1.754,,0.637,-7.196,0.77,2.314,,3.224,3.086,3.577,3.704,4.095,3.162,3.85,4.002,3.421,3.178,0.0
p257_228.wav,1.623,,15.843,11.551,0.802,2.675,,3.144,3.205,3.629,3.735,3.163,4.205,3.762,3.617,2.607,2.341,0.2
p257_229.wav,2.192,,10.755,-0.368,0.623,1.125,,2.491,2.457,3.554,2.486,3.392,4.126,3.818,3.902,3.2,2.423,0.167
p257_230.wav,3.262,,6.309,-3.125,0.572,1.248,2.02,2.514,2.239,3.38,2.294,3.211,3.54,3.04,3.619,3.136,2.168,0.273
p257_231.wav,3.159,,1.539,-8.087,0.47,1.066,1.44,2.379,1.984,2.986,1.94,3.348,2.56,3.924,3.964,2.755,1.947,0.5
p257_232.wav,3.745,,16.816,8.513,0.871,2.008,3.34,3.167,2.966,3.645,3.317,2.95,3.856,3.902,4.291,3.055,2.18,0.154
p257_233.wav,2.394,,10.723,-0.153,0.711,1.658,3.71,2.81,3.076,3.673,3.442,2.799,3.209,4.302,3.968,2.634,2.391,0.0
p257_234.wav,3.464,,6.946,-1.759,0.677,1.118,2.51,2.453,2.455,3.484,2.536,2.786,3.308,3.484,3.742,2.405,2.052,0.0
p257_235.wav,2.253,,0.917,-8.92,0.539,1.087,1.86,2.28,2.282,3.164,2.63,2.831,2.85,3.233,3.652,2.304,1.814,0.0
p257_236.wav,3.559,,16.413,8.967,0.947,3.654,4.62,3.251,3.403,3.669,4.092,3.762,3.525,3.519,3.884,3.677,3.248,0.0
p257_237.wav,3.336,,11.56,4.499,0.964,2.881,4.06,3.583,3.251,3.605,3.952,3.61,3.8,3.724,3.556,3.184,2.948,0.0
p257_238.wav,2.114,,5.599,-2.208,0.863,2.081,,3.155,3.075,3.448,3.904,3.512,2.962,3.657,3.922,2.93,2.281,0.25
p257_239.wav,1.997,,0.837,-7.036,0.746,1.176,,2.994,2.77,3.512,3.144,2.872,2.424,3.517,3.858,2.376,1.771,0.0
p257_240.wav,2.93,,16.71,7.469,0.81,1.996,3.27,3.153,2.711,3.567,2.976,3.817,3.63,3.195,4.508,3.156,2.919,0.0
p257_241.wav,1.612,,10.378,1.444,0.831,1.145,,3.298,3.056,3.54,3.633,4.19,2.606,3.497,3.81,2.938,2.539,0.0
p257_242.wav,3.065,,6.511,-3.146,0.712,1.202,2.66,3.063,2.803,3.663,3.075,3.205,2.535,3.483,3.972,2.693,2.097,0.3
p257_243.wav,2.172,,1.239,-4.584,0.763,1.147,,3.005,2.387,3.083,2.904,2.916,3.089,3.238,3.658,2.906,2.122,0.0
