Unnamed: 0,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
19365,/data/datasets/LRS3/trainval/6Co3dn0nSTk/50002.wav,6.08,16000,3,2.9525635,3.5630229,3.292096,2.7493274355474324,3.288768266300302,3.474354929807548,3.1638393
2495,/data/datasets/LRS3/trainval/55n9pHSA0O8/50020.wav,1.728,16000,4,3.258817,3.8158517,3.6470628,2.962401277393764,3.440932359666185,3.721236958129364,3.5696962
4678,/data/datasets/LRS3/trainval/Pzd7ReqiQnE/50003.wav,2.176,16000,8,2.8191297,3.5723846,2.9672055,2.6525099787082858,3.294322998760427,3.217416144729816,3.0335484
4719,/data/datasets/LRS3/trainval/nqj6fH2i9go/50004.wav,6.08,16000,3,2.9835577,3.7334442,3.0676754,2.771560320068774,3.3918980441705435,3.3005236520406203,3.6492069
17378,/data/datasets/LRS3/trainval/HCJRXoYOoaI/50014.wav,1.216,16000,1,3.5390089,3.9898572,3.9187725,3.146215954407227,3.539459921144264,3.887857679826745,3.2130363
26307,/data/datasets/LRS3/trainval/DjcZrtcBZi4/50044.wav,6.208,16000,3,3.2839444,4.10858,3.0831203,2.9793024078332926,3.603596648598744,3.3128633797395928,3.6606247
21193,/data/datasets/LRS3/trainval/iCvmsMzlF7o/50027.wav,1.792,16000,5,3.554975,4.071254,3.7975247,3.15634857811498,3.583663587055681,3.815891346384163,3.3880267
16075,/data/datasets/LRS3/trainval/NhYnouvrGS8/50011.wav,1.536,16000,3,2.1160483,3.2567203,2.2812707,2.103315026065834,3.090541018901794,2.5895747280071224,3.2803366
27569,/data/datasets/LRS3/trainval/LXQqrR9mDMo/50003.wav,6.08,16000,3,2.8700855,3.7451966,2.954712,2.690117724616968,3.399676473321889,3.2089474985770727,3.3357544
20298,/data/datasets/LRS3/trainval/N37x4GgDVBM/50016.wav,6.016,16000,3,3.2758503,3.6604168,3.8829546,2.9740160442171057,3.3488803080341274,3.8663897306429234,3.1177473
3881,/data/datasets/LRS3/trainval/aSLSiIskEFU/50011.wav,1.856,16000,5,2.396972,3.845171,2.1533637,2.33085472196244,3.457955164086532,2.457938999033872,3.461985
9090,/data/datasets/LRS3/trainval/WQ82Uukl6rg/50005.wav,0.896,16000,5,2.5071468,3.6492915,2.3144612,2.41721171178942,3.34212341203846,2.622524944957793,2.7702403
27701,/data/datasets/LRS3/trainval/NAkkckxE9i8/50006.wav,5.76,16000,2,3.3274126,3.9534197,3.314302,3.0084918547647863,3.519024843183898,3.4903666272753933,3.7111049
19915,/data/datasets/LRS3/trainval/xEtXItg9hEE/50006.wav,4.8,16000,1,2.3981924,3.9074957,1.8881203,2.3319732258617667,3.4935288417606176,2.172833689532437,3.2430642
6135,/data/datasets/LRS3/trainval/KI3WJXNhCJ8/50009.wav,6.208,16000,3,3.7437232,4.098511,4.1139035,3.273679038484915,3.5982878889877274,3.995297442636748,3.600729
29899,/data/datasets/LRS3/trainval/J6oMG7u9HGE/50036.wav,4.608,16000,1,3.3824573,3.919645,3.690138,3.044905356588737,3.500375875391394,3.749008398425583,3.418702
19967,/data/datasets/LRS3/trainval/MOFdlEbu15g/50014.wav,6.08,16000,3,3.7886822,4.2032504,4.0813513,3.300763392316468,3.653080182461151,3.9776821923323418,3.3771267
803,/data/datasets/LRS3/trainval/4yyPSZSGLOI/50004.wav,5.952,16000,2,3.5276961,4.035592,3.7510076,3.1361523178341058,3.5641220420736643,3.781058288616552,4.032346
21643,/data/datasets/LRS3/trainval/cSrWtqConY8/50003.wav,6.08,16000,3,3.6993477,4.1450143,3.9389055,3.2464974101777315,3.6228894932347377,3.899048294386781,3.38984
28120,/data/datasets/LRS3/trainval/KTvSfeCRxe8/50002.wav,3.584,16000,5,3.5865607,4.0980444,3.697857,3.1755192924318973,3.597757186587747,3.749913219094201,3.7157059
217,/data/datasets/LRS3/trainval/vzi4AopBEBg/50003.wav,5.952,16000,2,3.4834425,4.049038,3.6019197,3.1096561730775174,3.5717078485267897,3.688921953452404,3.514071
11135,/data/datasets/LRS3/trainval/EZwxKPv1CwA/50004.wav,3.776,16000,6,2.5575445,3.8468742,2.396127,2.456049977629578,3.4588187760932136,2.7029770857157254,3.386153
29318,/data/datasets/LRS3/trainval/jLOfXsFlb18/50003.wav,5.568,16000,2,3.3119226,3.8584013,3.665832,2.997143534550226,3.4654305293643928,3.730451715250079,3.445767
8100,/data/datasets/LRS3/trainval/aEa11FZwTRY/50021.wav,2.368,16000,1,2.7029345,3.1714418,3.225477,2.566718500901528,3.03246357232772,3.424403644397392,3.1078644
16574,/data/datasets/LRS3/trainval/rKtmsVa4Kvk/50010.wav,5.248,16000,1,3.1271284,3.980228,3.0825431,2.872556388638708,3.534148722470471,3.313117468203288,3.3421345
2678,/data/datasets/LRS3/trainval/B1dkma6GRZo/50003.wav,1.536,16000,3,3.0062625,3.8457491,3.1721637,2.787853490746087,3.4583240772631907,3.383515146007192,2.9667594
22673,/data/datasets/LRS3/trainval/OFbF16DVTXY/50004.wav,1.856,16000,5,3.4332862,3.889176,3.8352141,3.0778895889806144,3.4830908701415404,3.836832128641743,3.7974167
340,/data/datasets/LRS3/trainval/p7YRnLbmLGs/50010.wav,6.016,16000,3,3.1377008,3.6131878,3.5225399,2.8796820989801497,3.3200449223131216,3.638007235525426,3.4286022
13611,/data/datasets/LRS3/trainval/boSGZ3qSAys/50005.wav,1.408,16000,2,1.8754239,3.2071774,1.79564,1.89993893629764,3.0569498844880094,2.0688139921934807,3.191665
14248,/data/datasets/LRS3/trainval/NMfXycr7SOU/50001.wav,5.888,16000,2,3.904886,4.192381,4.36666,3.3698459095699675,3.6474242644303887,4.11927876560638,3.8680701
17282,/data/datasets/LRS3/trainval/kNhyOYv2ejw/50015.wav,1.728,16000,4,3.1785116,3.7362309,3.5674129,2.907943665216437,3.394365142342103,3.668775975748921,3.486835
1437,/data/datasets/LRS3/trainval/3WMuzhQXJoY/50005.wav,1.088,16000,8,3.2459652,3.7424989,3.721134,2.953477310886092,3.398006167400042,3.766208851434254,3.0977762
18160,/data/datasets/LRS3/trainval/HQIi3nUXh0g/50009.wav,2.24,16000,8,3.433662,3.8703942,3.7726197,3.078211584059322,3.472379969685464,3.798842355445893,3.4729388
10629,/data/datasets/LRS3/trainval/KCr8s57hdzY/50005.wav,1.728,16000,4,2.2466562,3.3203053,2.2908378,2.209667871712972,3.132237418254664,2.5970003066290075,3.5007286
29349,/data/datasets/LRS3/trainval/23vKtqo2t4k/50005.wav,1.6,16000,3,2.816569,3.4149659,3.4122038,2.6496366843146357,3.194872065807227,3.5553716235759034,3.043579
1889,/data/datasets/LRS3/trainval/SCCG81UbruY/50020.wav,2.56,16000,1,2.7477036,3.1715267,3.5080926,2.600145717781331,3.03252198492946,3.6286085994881434,3.0582473
