                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  11.639  6.093  -2.796  6.696  12.648  17.090  25.079
SSNR                      824.0   4.128  5.750 -14.488  0.341   5.348   8.343  17.595
ESTOI                     824.0   0.814  0.128   0.291  0.742   0.839   0.919   0.999
PESQ_WB                   824.0   2.107  0.615   1.036  1.602   2.081   2.572   3.739
POLQA_WB                  470.0   3.210  0.749   1.320  2.650   3.185   3.760   4.750
DNSMOS_P808               824.0   3.274  0.330   2.329  3.040   3.273   3.510   4.080
DNSMOS_OVRL               824.0   2.850  0.329   1.176  2.686   2.893   3.076   3.536
DNSMOS_SIG                824.0   3.378  0.270   1.418  3.270   3.431   3.553   3.743
DNSMOS_BAK                824.0   3.477  0.469   1.065  3.234   3.560   3.802   4.202
MOS_COL                   824.0   3.506  0.431   2.381  3.202   3.521   3.804   4.673
MOS_DISC                  824.0   3.833  0.495   2.422  3.478   3.886   4.209   4.897
MOS_LOUD                  824.0   3.767  0.346   2.699  3.531   3.764   4.018   4.705
MOS_REVERB                824.0   4.090  0.455   2.685  3.770   4.146   4.438   4.935
MOS_SIG                   824.0   3.179  0.381   1.896  2.929   3.178   3.431   4.455
MOS_OVRL                  824.0   2.783  0.381   1.480  2.541   2.802   3.036   3.965
WER_QuartzNet15x5Base-En  824.0   0.093  0.178   0.000  0.000   0.000   0.125   1.000
