FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,17.941,9.29,0.841,2.6,3.605,3.108,3.492,3.793,3.53,3.411,3.397,3.507,3.06,2.66,0.0
p232_002.wav,2.715,,14.466,9.846,0.948,3.002,3.577,3.437,3.675,4.144,3.764,4.145,4.02,4.589,3.906,3.532,0.0
p232_003.wav,7.185,,9.432,6.367,0.925,2.821,3.826,3.179,3.521,3.921,3.624,3.932,3.559,4.537,3.625,3.273,0.05
p232_005.wav,6.247,,4.328,3.497,0.758,1.428,3.875,2.787,3.697,2.829,3.345,3.606,3.863,3.89,2.82,2.529,0.0
p232_006.wav,5.104,,17.389,10.895,0.892,2.311,3.988,3.021,3.489,3.64,3.571,4.285,3.872,4.434,3.994,3.588,0.176
p232_007.wav,3.956,,12.849,6.545,0.866,1.957,3.957,2.888,3.541,3.316,4.348,3.789,4.504,4.283,4.067,3.504,0.083
p232_009.wav,4.158,,10.199,4.621,0.877,2.059,3.565,2.813,3.409,3.326,3.541,3.386,3.491,4.287,2.679,2.546,0.0
p232_010.wav,2.764,,2.354,-6.815,0.517,1.327,2.818,2.502,3.18,3.058,3.565,2.789,3.939,3.094,2.638,2.435,0.25
p232_011.wav,6.538,,17.558,11.397,0.919,2.73,4.025,3.262,3.622,3.837,3.915,3.878,4.746,4.77,3.445,3.183,0.0
p232_012.wav,4.336,,15.219,9.662,0.92,2.295,3.752,3.06,3.65,3.404,4.11,4.504,4.438,4.781,4.078,3.678,0.0
p232_013.wav,3.943,,8.242,2.314,0.844,1.667,3.663,2.609,3.144,3.377,4.265,3.464,4.037,3.754,3.201,2.491,0.0
p232_014.wav,4.617,,4.251,-0.088,0.782,1.532,3.737,2.96,3.447,3.597,3.244,2.844,3.967,3.463,2.363,1.909,0.067
p232_015.wav,5.32,,17.612,13.343,0.982,3.58,3.964,3.485,3.731,4.125,3.832,3.914,4.011,4.206,3.923,3.6,0.0
p232_016.wav,5.569,,12.513,8.673,0.976,3.332,4.075,3.196,3.587,3.824,3.573,4.102,3.946,4.746,3.51,3.149,0.0
p232_017.wav,2.889,,6.904,0.994,0.978,2.774,3.369,3.082,3.446,3.877,4.177,4.132,4.059,4.844,3.425,2.801,0.25
p232_019.wav,6.736,,2.316,-0.926,0.94,2.142,3.591,3.145,3.623,3.713,3.86,3.374,4.183,4.041,2.88,2.678,0.0
p232_020.wav,3.617,,16.702,11.148,0.901,2.299,3.808,3.142,3.593,3.716,3.188,4.535,4.02,4.673,3.329,2.925,0.0
p232_021.wav,8.51,,12.796,9.524,0.933,2.643,4.067,3.139,3.621,3.605,3.691,4.079,4.162,4.415,3.747,3.39,0.0
p232_022.wav,5.794,,13.079,9.186,0.906,1.866,3.714,3.062,3.667,3.451,3.256,3.723,4.464,4.601,3.422,2.632,0.056
p232_023.wav,9.769,,12.409,7.241,0.825,1.597,3.787,2.83,3.576,3.131,3.705,4.014,4.502,4.788,3.367,2.886,0.056
p232_024.wav,5.52,,18.548,15.277,0.979,3.734,4.025,3.44,3.666,4.137,4.229,4.776,4.024,4.378,4.171,3.859,0.0
p232_025.wav,1.876,,22.597,12.767,0.931,2.646,3.757,3.188,3.647,3.701,3.172,4.028,3.197,4.486,3.31,2.891,0.0
p232_027.wav,3.771,,9.272,8.544,0.975,3.11,3.917,3.31,3.637,3.931,3.291,4.13,3.73,4.69,3.151,2.869,0.0
p232_028.wav,2.065,,12.257,2.044,0.582,1.362,3.202,2.458,3.4,2.714,2.238,3.467,2.957,3.809,2.544,1.945,0.0
p232_029.wav,3.415,,17.466,8.129,0.873,2.033,3.843,3.093,3.475,3.818,3.912,4.292,4.006,4.477,3.715,3.257,0.0
p232_030.wav,3.849,,15.069,9.574,0.955,2.335,3.745,3.081,3.534,3.672,4.328,3.766,3.784,4.559,3.373,3.04,0.083
p232_031.wav,2.29,,6.048,-2.069,0.657,1.737,3.668,2.91,3.489,3.496,3.651,3.784,3.333,3.488,3.071,2.96,0.167
p232_032.wav,3.49,,2.35,-2.566,0.583,1.199,3.123,2.726,3.303,3.498,3.644,4.192,3.835,3.747,3.075,2.746,0.545
p232_033.wav,1.448,,17.234,5.815,0.798,2.638,3.363,2.766,3.082,3.866,3.354,4.483,3.835,4.056,3.338,3.155,0.0
p232_034.wav,1.472,,11.378,3.809,0.75,1.497,3.228,2.701,3.293,3.38,4.254,3.634,3.482,3.752,3.295,3.108,0.0
p232_035.wav,3.158,,12.775,6.18,0.878,1.708,3.076,2.896,3.68,3.169,3.775,2.942,3.657,3.631,2.872,2.422,0.231
p232_036.wav,2.843,,2.158,-3.353,0.634,1.242,3.201,2.374,3.105,2.934,3.995,3.395,3.765,3.47,3.075,2.89,0.2
p232_037.wav,3.856,,16.465,10.848,0.995,3.56,3.798,3.369,3.611,4.119,4.131,3.418,3.973,4.246,3.536,3.146,0.0
p232_038.wav,2.09,,11.409,3.453,0.896,2.55,3.715,2.977,3.283,3.934,3.365,4.288,3.403,3.862,3.63,3.265,0.0
p232_039.wav,1.94,,4.895,-3.358,0.633,2.008,3.085,2.537,3.021,3.477,4.329,3.43,3.547,3.815,3.786,3.552,0.0
p232_040.wav,1.898,,1.194,-4.505,0.979,2.43,3.112,2.956,3.488,3.503,3.522,3.47,4.288,4.445,3.362,2.675,0.0
p232_041.wav,2.007,,18.154,8.171,0.788,2.184,3.204,2.536,3.434,2.783,4.164,3.72,4.096,4.46,3.755,3.323,0.0
p232_042.wav,2.514,,11.454,6.768,0.981,2.955,4.053,3.316,3.605,4.076,3.56,4.279,4.111,4.475,3.478,3.146,0.0
p232_043.wav,1.96,,12.986,4.633,0.727,1.877,3.325,3.431,3.672,4.147,4.275,4.698,4.606,4.277,3.803,3.178,0.0
p232_044.wav,1.383,,5.781,-2.663,0.647,1.39,3.012,2.079,2.889,2.564,3.222,3.368,4.096,3.595,2.998,2.609,0.0
p232_045.wav,1.238,,15.839,6.832,0.9,3.023,3.275,2.864,3.223,3.814,3.044,3.551,2.955,4.238,2.618,2.316,0.0
p232_046.wav,1.416,,16.227,5.728,0.74,1.926,3.105,2.563,3.206,3.084,3.4,4.201,3.92,4.377,3.592,3.131,0.0
p232_047.wav,1.926,,16.908,7.514,0.845,1.969,3.083,2.737,3.364,3.227,3.248,4.665,3.236,4.667,2.924,2.752,0.0
p232_048.wav,1.82,,1.768,-7.003,0.583,1.896,3.377,2.686,3.295,3.32,3.559,3.377,4.083,3.98,2.702,2.216,0.0
p232_049.wav,2.941,,18.892,12.58,0.95,2.693,3.737,3.242,3.62,3.821,3.006,3.932,3.231,4.43,2.812,2.731,0.0
p232_050.wav,1.733,,12.165,3.906,0.784,1.699,2.962,2.748,3.105,3.757,3.488,3.938,3.401,4.454,3.322,2.985,0.0
p232_051.wav,1.476,,7.123,-5.136,0.722,1.66,3.217,2.381,3.228,2.849,4.218,3.776,4.488,4.079,3.21,2.918,0.75
p232_052.wav,2.199,,2.73,-5.709,0.481,1.224,2.701,1.656,2.74,1.723,3.009,3.826,3.465,3.425,3.002,1.932,0.143
p232_053.wav,1.644,,19.291,9.08,0.858,2.391,3.573,2.897,3.352,3.724,3.596,3.807,2.905,4.559,2.989,2.658,0.0
p232_054.wav,3.706,,15.193,9.108,0.937,2.119,3.524,2.81,3.543,3.082,3.254,4.073,3.849,4.759,3.405,2.932,0.0
p232_055.wav,1.526,,8.555,3.559,0.746,2.094,3.784,2.829,3.112,3.906,4.306,4.207,3.97,3.98,3.198,3.066,0.0
p232_056.wav,1.803,,2.796,-4.15,0.644,1.463,2.44,2.217,2.741,3.244,3.67,3.431,3.374,3.326,2.852,2.675,0.0
