FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p257_359.wav,2.513,,1.036,-6.592,0.88,1.851,3.252,2.953,3.53,3.516,3.22,3.377,3.851,4.22,2.688,2.516,0.0
p257_360.wav,2.821,,19.073,12.204,0.936,2.378,3.348,3.158,3.538,3.849,3.257,3.452,3.658,4.401,3.025,2.743,0.0
p257_361.wav,1.449,,10.443,0.508,0.846,1.358,2.955,3.002,3.398,3.807,3.894,3.361,3.444,3.874,3.42,3.196,0.0
p257_362.wav,1.884,,6.02,-5.493,0.748,1.166,2.902,2.843,3.608,3.103,2.567,2.719,3.446,4.28,2.623,2.287,0.0
p257_363.wav,2.077,,0.973,-8.954,0.564,1.243,3.001,3.015,3.479,3.669,3.493,2.77,3.295,3.434,2.789,2.782,0.0
p257_364.wav,3.185,,16.884,13.93,0.966,3.446,3.703,3.321,3.597,4.132,4.368,3.82,3.909,4.541,4.207,3.795,0.0
p257_365.wav,2.099,,10.539,2.747,0.942,3.057,3.453,3.125,3.475,3.962,4.402,3.877,3.151,4.841,4.182,4.05,0.0
p257_366.wav,3.365,,6.711,2.08,0.953,3.244,3.495,3.003,3.471,3.715,3.93,4.439,4.254,4.808,3.977,3.476,0.0
p257_367.wav,3.244,,2.413,-1.858,0.888,1.265,2.84,2.99,3.377,3.841,2.664,2.654,3.292,4.075,2.99,2.552,0.2
p257_368.wav,2.098,,17.091,7.152,0.854,2.166,3.193,3.137,3.508,3.893,4.159,3.508,3.753,3.567,3.521,3.262,0.0
p257_369.wav,2.284,,10.671,2.049,0.839,1.46,3.23,3.058,3.453,3.859,3.628,3.057,3.915,3.555,3.252,3.051,0.167
p257_370.wav,2.216,,8.945,-1.109,0.702,1.662,3.181,2.56,3.109,3.353,3.565,2.929,3.632,3.786,3.265,2.781,0.125
p257_371.wav,1.639,,0.762,-3.615,0.731,1.255,3.215,2.476,3.174,3.209,2.617,3.682,3.756,3.86,2.451,2.0,0.0
p257_372.wav,2.01,,16.024,7.231,0.876,2.548,3.122,2.899,3.431,3.568,3.936,4.116,3.657,3.916,3.19,3.07,0.0
p257_373.wav,1.413,,12.26,4.559,0.861,1.147,3.472,3.088,3.432,3.943,3.844,2.873,4.009,4.05,3.004,2.417,0.0
p257_374.wav,2.581,,6.329,-0.516,0.823,1.206,2.949,3.008,3.449,3.77,2.851,3.924,3.545,4.21,2.914,2.372,0.0
p257_375.wav,2.895,,2.783,-5.158,0.543,1.056,2.542,2.228,3.296,2.213,2.527,3.019,3.631,3.605,2.423,1.894,0.273
p257_376.wav,2.27,,16.525,8.685,0.789,3.092,3.341,2.997,3.278,4.042,3.214,4.098,3.144,3.986,3.247,2.985,0.0
p257_377.wav,2.689,,10.979,3.862,0.897,1.787,3.69,3.29,3.526,4.117,3.705,4.006,3.383,4.303,3.323,3.104,0.0
p257_378.wav,1.72,,4.806,-6.579,0.617,2.01,2.629,2.999,3.446,3.792,4.005,3.275,2.604,3.996,3.807,3.165,0.0
p257_379.wav,3.518,,1.328,-4.862,0.878,1.98,3.267,3.103,3.652,3.579,2.938,3.616,2.923,4.118,2.698,2.244,0.0
p257_380.wav,2.221,,16.856,9.846,0.913,2.118,3.299,3.249,3.559,4.034,3.003,4.345,3.908,3.751,3.549,3.065,0.143
p257_381.wav,3.037,,14.315,5.663,0.818,2.375,3.342,3.034,3.435,3.757,3.938,3.292,3.315,4.107,2.796,2.61,0.111
p257_382.wav,1.881,,11.517,1.441,0.648,2.117,3.067,3.077,3.535,3.738,2.561,3.381,4.272,4.249,2.934,2.08,0.0
p257_383.wav,3.437,,1.862,-6.518,0.842,1.425,3.092,2.324,3.243,2.485,3.6,2.886,3.488,3.839,2.986,2.236,0.1
p257_384.wav,2.78,,15.798,8.155,0.908,3.259,3.553,3.36,3.617,4.16,3.553,3.635,3.556,3.979,3.851,3.57,0.0
p257_385.wav,2.215,,11.505,3.546,0.84,2.549,3.213,3.302,3.573,4.102,3.663,3.719,4.193,4.227,3.271,3.059,0.0
p257_386.wav,2.179,,5.367,-3.353,0.892,2.863,3.514,2.933,3.356,3.797,4.037,4.015,3.902,3.79,3.3,2.787,0.0
p257_387.wav,1.434,,-0.706,-12.44,0.734,1.156,3.456,2.898,3.431,3.646,4.274,2.783,3.553,3.238,3.278,2.966,0.0
p257_388.wav,1.684,,16.213,6.693,0.855,2.529,3.155,2.898,3.286,3.808,3.842,4.262,4.254,4.193,3.407,2.98,0.0
p257_389.wav,3.36,,12.829,5.357,0.892,1.944,2.992,2.781,3.237,3.569,3.014,3.841,3.707,4.24,2.969,2.473,0.167
p257_390.wav,1.537,,7.22,-2.022,0.678,1.552,3.133,2.947,3.784,3.145,3.073,3.12,3.595,4.01,2.806,2.175,0.0
p257_391.wav,2.307,,1.746,-2.605,0.642,1.359,3.218,2.744,3.217,3.579,3.442,3.291,4.074,4.12,2.75,1.989,0.167
p257_392.wav,2.437,,17.155,8.456,0.907,2.412,3.146,2.743,3.07,3.797,3.815,3.658,4.27,4.251,2.911,2.66,0.0
p257_393.wav,2.348,,12.611,5.147,0.822,1.999,2.946,3.21,3.611,3.831,3.01,3.691,3.969,4.413,3.225,2.592,0.0
p257_394.wav,2.883,,6.842,-1.368,0.907,1.608,2.843,3.0,3.567,3.492,3.688,3.474,3.548,3.763,3.361,2.969,0.0
p257_395.wav,2.347,,1.744,-7.839,0.589,1.268,2.416,2.574,3.502,2.684,3.117,3.352,3.771,4.064,2.831,1.929,0.143
p257_396.wav,1.724,,15.581,7.961,0.918,2.936,3.317,2.808,3.129,3.893,3.451,4.263,3.416,4.527,3.403,2.866,0.25
p257_397.wav,1.88,,10.345,1.245,0.946,2.873,3.405,3.096,3.43,3.988,3.548,3.963,4.018,4.299,3.631,3.21,0.0
p257_398.wav,1.58,,5.584,-2.685,0.72,1.182,2.934,2.895,3.291,3.839,3.805,3.726,3.517,3.846,3.206,2.787,0.0
p257_399.wav,2.785,,1.692,-5.432,0.932,2.067,3.407,2.891,3.535,3.323,3.634,4.077,3.209,4.45,3.717,2.729,0.0
p257_400.wav,1.904,,17.34,8.62,0.806,2.166,3.296,3.116,3.5,3.871,3.52,3.694,3.912,3.599,3.86,3.281,0.0
p257_401.wav,1.774,,10.683,0.332,0.754,1.343,3.163,3.081,3.5,3.758,4.198,3.185,3.662,3.827,3.436,3.039,0.333
p257_402.wav,3.001,,6.67,2.067,0.826,1.51,3.496,2.972,3.521,3.603,3.839,3.166,4.168,4.419,2.964,2.657,0.0
p257_403.wav,2.122,,1.531,-7.404,0.767,1.616,3.393,2.681,3.333,3.244,3.304,3.498,3.471,3.78,2.836,2.634,0.0
p257_404.wav,2.41,,15.061,6.915,0.839,3.243,3.204,3.151,3.456,4.008,4.03,2.978,3.975,4.158,2.94,2.556,0.0
p257_405.wav,2.053,,10.725,-0.943,0.845,2.515,3.31,3.291,3.612,4.004,2.943,4.022,4.347,4.571,3.413,3.06,0.0
p257_406.wav,2.8,,6.457,0.519,0.922,3.175,3.267,3.133,3.519,3.861,4.007,3.335,3.841,3.821,3.524,3.167,0.0
p257_407.wav,2.519,,1.283,-5.428,0.91,1.446,3.661,2.96,3.366,3.867,2.991,3.961,3.595,3.665,3.473,2.635,0.143
p257_408.wav,2.38,,17.832,7.711,0.833,1.963,2.998,3.153,3.577,3.697,2.877,4.098,3.973,4.574,3.158,2.843,0.0
p257_409.wav,1.882,,11.17,-0.908,0.76,2.131,3.063,3.169,3.552,3.853,3.406,3.17,3.743,3.742,2.905,2.757,0.2
p257_410.wav,3.581,,6.901,0.807,0.842,1.301,3.311,3.186,3.522,3.966,3.44,3.169,3.667,4.071,2.961,2.497,0.444
p257_411.wav,3.171,,2.264,-1.411,0.753,1.158,2.997,2.802,3.596,3.099,3.302,2.954,3.574,3.978,2.991,2.202,0.0
p257_412.wav,1.907,,15.767,4.774,0.877,2.507,3.119,3.348,3.619,4.137,3.593,3.713,3.959,4.247,3.301,3.08,0.0
p257_413.wav,2.036,,12.711,4.25,0.812,1.775,3.272,3.143,3.474,3.954,3.3,3.708,3.764,4.582,3.464,2.574,0.0
p257_414.wav,1.847,,7.835,-0.256,0.78,1.67,2.923,2.742,3.207,3.529,3.019,3.289,3.85,3.919,2.645,2.234,0.0
p257_415.wav,1.977,,0.844,-9.895,0.699,1.165,2.846,2.563,3.546,2.743,3.23,3.946,3.277,3.426,2.959,2.567,0.0
p257_416.wav,2.182,,15.865,7.359,0.969,3.176,3.331,3.254,3.614,3.992,4.152,3.775,3.769,4.119,3.762,3.1,0.0
p257_417.wav,1.661,,10.378,-1.467,0.964,2.746,3.436,2.928,3.333,3.774,3.713,3.199,3.587,4.556,3.297,2.993,0.0
p257_418.wav,2.687,,6.294,-1.47,0.873,1.942,3.378,2.952,3.333,3.847,3.793,2.833,4.037,3.996,2.567,2.191,0.0
p257_419.wav,2.304,,1.029,-6.433,0.848,1.933,3.231,3.22,3.619,3.906,3.072,3.651,3.388,4.095,2.753,2.473,0.0
p257_420.wav,1.611,,15.513,5.037,0.876,2.4,3.068,3.03,3.362,3.926,4.226,3.537,4.274,3.595,3.537,3.255,0.0
p257_421.wav,1.586,,10.532,2.706,0.759,2.325,3.146,3.025,3.388,3.903,4.35,4.001,3.85,4.397,3.278,2.957,0.0
p257_422.wav,3.068,,8.585,1.351,0.805,1.726,3.201,3.219,3.693,3.714,2.956,4.002,3.943,3.864,2.994,2.591,0.1
p257_423.wav,1.953,,1.306,-7.685,0.738,1.077,2.828,2.625,3.312,3.159,3.603,2.97,2.862,3.527,2.86,2.463,0.0
p257_424.wav,3.435,,16.837,9.5,0.913,1.695,3.248,3.16,3.482,3.97,3.901,3.914,4.395,4.46,3.295,3.134,0.0
p257_425.wav,1.624,,4.682,-3.778,0.773,2.653,3.134,2.969,3.332,3.916,3.42,2.84,3.355,3.227,3.371,3.061,0.0
p257_426.wav,2.298,,1.85,-7.07,0.686,1.242,2.779,2.592,3.558,2.82,3.067,3.009,3.257,3.553,2.825,2.471,0.4
p257_427.wav,1.924,,4.721,-3.352,0.557,1.15,2.637,2.221,3.509,2.037,2.797,3.462,3.236,3.671,2.883,2.312,0.25
p257_428.wav,2.43,,11.244,2.784,0.941,2.843,3.584,2.991,3.365,3.854,3.409,4.147,3.473,3.861,3.8,3.337,0.0
p257_429.wav,1.391,,11.971,3.613,0.746,1.64,3.066,2.829,3.291,3.532,3.18,3.275,3.265,4.436,2.781,2.456,0.0
p257_430.wav,3.415,,7.984,0.706,0.793,1.587,2.815,2.668,3.433,3.08,2.779,3.78,3.882,4.548,2.683,2.138,0.0
p257_431.wav,2.412,,8.269,0.641,0.814,1.388,3.002,3.172,3.597,3.801,3.359,3.346,3.559,3.61,2.81,2.153,0.0
p257_432.wav,2.21,,11.073,-0.052,0.587,1.112,3.303,2.897,3.335,3.643,3.278,2.931,3.424,3.586,2.84,2.555,0.6
p257_433.wav,2.311,,10.449,0.363,0.791,2.362,2.923,2.875,3.296,3.72,3.873,3.638,4.244,4.338,3.014,2.675,0.0
p257_434.wav,2.084,,0.122,-9.998,0.753,2.318,3.569,2.868,3.388,3.648,3.856,3.689,3.333,3.972,2.72,2.605,0.0
