filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
/data3/jrichter/logs/sgmse_logs/iazxawoi-LRS3_SIGMOS_50_OVRL/results/40k/p232_002.wav,2.7151875,16000,1,3.7390614,4.2684045,3.7741873,3.2708506327933438,3.6863574982301484,3.8016514344709957,3.63743
/data3/jrichter/logs/sgmse_logs/iazxawoi-LRS3_SIGMOS_50_OVRL/results/40k/p232_015.wav,5.3199375,16000,1,4.0268965,4.2488074,4.4103374,3.4406727772813768,3.6764487269143613,4.139770268566253,3.9628932
/data3/jrichter/logs/sgmse_logs/iazxawoi-LRS3_SIGMOS_50_OVRL/results/40k/p232_006.wav,5.1035,16000,1,3.5658734,3.9166389,3.969223,3.1632676294211053,3.4986839598684427,3.9166423299927136,4.0082955
/data3/jrichter/logs/sgmse_logs/iazxawoi-LRS3_SIGMOS_50_OVRL/results/40k/p232_031.wav,2.2903125,16000,1,3.6156142,3.9816766,4.071627,3.1945816913200993,3.534948738185594,3.973008157872833,3.563451
/data3/jrichter/logs/sgmse_logs/iazxawoi-LRS3_SIGMOS_50_OVRL/results/40k/p232_016.wav,5.5693125,16000,2,3.7543683,4.160202,4.025562,3.2799771116697345,3.6307629690252874,3.945116831705977,4.107042
/data3/jrichter/logs/sgmse_logs/iazxawoi-LRS3_SIGMOS_50_OVRL/results/40k/p232_023.wav,9.768875,16000,1,3.1324437,4.163026,2.890707,2.8762341766180524,3.6323162940454914,3.15530080276937,3.2675028
/data3/jrichter/logs/sgmse_logs/iazxawoi-LRS3_SIGMOS_50_OVRL/results/40k/p232_014.wav,4.616875,16000,1,3.2417047,4.1729875,3.1109302,2.95098749213816,3.6375047095570663,3.335647361203453,3.1858478
/data3/jrichter/logs/sgmse_logs/iazxawoi-LRS3_SIGMOS_50_OVRL/results/40k/p232_022.wav,5.7939375,16000,2,3.4749355,4.130951,3.5031729,3.1047264695923706,3.6154298062683976,3.6204224362465007,3.7191625
/data3/jrichter/logs/sgmse_logs/iazxawoi-LRS3_SIGMOS_50_OVRL/results/40k/p232_017.wav,2.8893125,16000,2,3.4468646,3.819497,3.9398139,3.08693838479545,3.4429858882220583,3.89976567377572,3.3711662
/data3/jrichter/logs/sgmse_logs/iazxawoi-LRS3_SIGMOS_50_OVRL/results/40k/p232_010.wav,2.764375,16000,2,2.26105,3.651137,2.0479693,2.222227683560474,3.3431595283472397,2.347203940661739,3.018331
