                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  8.684  5.272  -3.523  4.536  9.138  12.706  20.109
SSNR                      824.0  1.384  5.294 -16.863 -2.546  1.772   5.688  12.278
ESTOI                     824.0  0.764  0.149   0.230  0.673  0.792   0.886   0.996
PESQ_WB                   824.0  1.886  0.581   1.043  1.378  1.796   2.303   3.419
DNSMOS_P808               824.0  3.188  0.341   2.266  2.933  3.184   3.434   4.032
DNSMOS_OVRL               824.0  2.690  0.435   1.034  2.490  2.771   3.003   3.439
DNSMOS_SIG                824.0  3.208  0.402   1.100  3.099  3.327   3.458   3.671
DNSMOS_BAK                824.0  3.392  0.559   1.068  3.117  3.494   3.818   4.187
MOS_COL                   824.0  3.623  0.422   2.106  3.344  3.650   3.916   4.650
MOS_DISC                  824.0  3.513  0.510   1.792  3.158  3.528   3.867   4.759
MOS_LOUD                  824.0  3.850  0.354   2.732  3.609  3.852   4.101   4.872
MOS_REVERB                824.0  4.040  0.416   2.856  3.740  4.061   4.364   4.907
MOS_SIG                   824.0  3.074  0.417   1.513  2.802  3.084   3.367   4.179
MOS_OVRL                  824.0  2.630  0.419   1.300  2.342  2.646   2.937   3.874
WER_QuartzNet15x5Base-En  824.0  0.119  0.206   0.000  0.000  0.000   0.169   1.000
