                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.215  5.834  -3.288  4.642  9.693  14.220  26.957
SSNR                      824.0  0.900  6.213 -16.793 -3.885  0.954   5.960  19.599
ESTOI                     824.0  0.831  0.122   0.331  0.761  0.855   0.929   0.999
PESQ_WB                   824.0  2.161  0.709   1.048  1.518  2.138   2.733   4.056
DNSMOS_P808               824.0  3.285  0.334   2.350  3.063  3.281   3.527   4.107
DNSMOS_OVRL               824.0  2.937  0.313   1.076  2.812  2.985   3.136   3.460
DNSMOS_SIG                824.0  3.444  0.236   1.173  3.371  3.490   3.572   3.795
DNSMOS_BAK                824.0  3.574  0.480   1.151  3.388  3.699   3.904   4.179
MOS_COL                   824.0  3.614  0.443   1.629  3.313  3.604   3.934   4.724
MOS_DISC                  824.0  3.619  0.481   2.336  3.280  3.624   4.002   4.870
MOS_LOUD                  824.0  3.719  0.353   2.811  3.476  3.710   3.959   4.848
MOS_REVERB                824.0  4.072  0.379   2.884  3.796  4.078   4.365   4.869
MOS_SIG                   824.0  3.213  0.407   1.953  2.941  3.236   3.492   4.588
MOS_OVRL                  824.0  2.780  0.461   1.425  2.446  2.814   3.108   4.350
WER_QuartzNet15x5Base-En  824.0  0.082  0.166   0.000  0.000  0.000   0.106   1.000
