                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.256  5.943  -3.219  4.688  9.900  14.574  26.993
SSNR                      824.0  0.940  6.328 -16.717 -3.994  1.002   5.855  19.735
ESTOI                     824.0  0.833  0.121   0.319  0.765  0.860   0.929   0.999
PESQ_WB                   824.0  2.182  0.722   1.049  1.533  2.182   2.759   3.983
DNSMOS_P808               824.0  3.285  0.341   2.270  3.066  3.272   3.543   4.123
DNSMOS_OVRL               824.0  2.933  0.332   1.096  2.808  2.998   3.139   3.460
DNSMOS_SIG                824.0  3.434  0.271   1.187  3.368  3.491   3.574   3.786
DNSMOS_BAK                824.0  3.572  0.503   1.112  3.404  3.707   3.905   4.176
MOS_COL                   824.0  3.586  0.445   2.005  3.268  3.586   3.902   4.678
MOS_DISC                  824.0  3.612  0.483   2.271  3.272  3.626   3.937   4.873
MOS_LOUD                  824.0  3.706  0.352   2.601  3.454  3.704   3.956   4.905
MOS_REVERB                824.0  4.069  0.384   2.621  3.804  4.080   4.347   4.890
MOS_SIG                   824.0  3.200  0.424   1.910  2.926  3.204   3.506   4.602
MOS_OVRL                  824.0  2.778  0.463   1.492  2.447  2.800   3.122   4.240
WER_QuartzNet15x5Base-En  824.0  0.077  0.159   0.000  0.000  0.000   0.100   1.000
