                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.289  5.933  -3.149  4.257  9.997  15.029  26.973
SSNR                      824.0  0.941  6.316 -16.773 -3.994  1.042   6.014  19.592
ESTOI                     824.0  0.831  0.125   0.342  0.764  0.857   0.929   0.999
PESQ_WB                   824.0  2.218  0.737   1.049  1.537  2.208   2.821   4.298
POLQA_WB                  470.0  3.393  0.753   1.250  2.870  3.470   3.988   4.750
DNSMOS_P808               824.0  3.276  0.350   2.108  3.044  3.271   3.539   4.094
DNSMOS_OVRL               824.0  2.926  0.344   1.086  2.802  2.992   3.140   3.451
DNSMOS_SIG                824.0  3.434  0.285   1.180  3.370  3.488   3.576   3.791
DNSMOS_BAK                824.0  3.555  0.525   1.115  3.413  3.698   3.906   4.175
MOS_COL                   824.0  3.572  0.468   2.130  3.240  3.598   3.897   4.681
MOS_DISC                  824.0  3.577  0.499   2.032  3.236  3.574   3.927   4.884
MOS_LOUD                  824.0  3.707  0.353   2.834  3.472  3.736   3.948   4.735
MOS_REVERB                824.0  4.081  0.388   2.783  3.789  4.088   4.376   4.880
MOS_SIG                   824.0  3.192  0.416   1.864  2.898  3.191   3.480   4.603
MOS_OVRL                  824.0  2.757  0.465   1.497  2.410  2.770   3.112   4.209
WER_QuartzNet15x5Base-En  824.0  0.076  0.154   0.000  0.000  0.000   0.100   1.000
