                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  11.671  6.323  -3.411  6.467  12.632  17.144  26.019
SSNR                      824.0   4.058  5.983 -16.915 -0.056   5.406   8.596  17.721
ESTOI                     824.0   0.815  0.128   0.338  0.741   0.839   0.919   0.998
PESQ_WB                   824.0   2.113  0.616   1.041  1.613   2.104   2.565   3.733
POLQA_WB                  470.0   3.214  0.739   1.300  2.672   3.180   3.790   4.750
DNSMOS_P808               824.0   3.264  0.332   2.342  3.032   3.266   3.507   4.095
DNSMOS_OVRL               824.0   2.841  0.339   1.193  2.680   2.887   3.064   3.467
DNSMOS_SIG                824.0   3.384  0.264   1.417  3.289   3.441   3.552   3.720
DNSMOS_BAK                824.0   3.447  0.499   1.154  3.195   3.548   3.802   4.161
MOS_COL                   824.0   3.451  0.439   2.280  3.140   3.447   3.768   4.754
MOS_DISC                  824.0   3.819  0.515   2.221  3.477   3.859   4.208   4.871
MOS_LOUD                  824.0   3.739  0.358   2.667  3.502   3.741   3.987   4.917
MOS_REVERB                824.0   4.120  0.440   2.728  3.788   4.150   4.474   4.914
MOS_SIG                   824.0   3.167  0.393   1.826  2.919   3.173   3.410   4.300
MOS_OVRL                  824.0   2.758  0.403   1.400  2.508   2.779   3.047   3.989
WER_QuartzNet15x5Base-En  824.0   0.093  0.180   0.000  0.000   0.000   0.111   1.000
