FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,11.849,3.435,0.829,2.059,3.65,3.264,3.59,4.067,3.478,3.285,3.571,3.546,3.411,3.092,0.0
p232_002.wav,2.715,,10.987,5.784,0.942,2.671,3.656,3.221,3.588,3.886,3.85,3.48,3.558,4.134,3.818,3.202,0.091
p232_003.wav,7.185,,6.403,-0.5,0.904,2.272,3.789,3.186,3.567,3.892,3.545,3.239,3.882,4.175,3.125,2.811,0.1
p232_005.wav,6.247,,2.375,-0.593,0.7,1.3,3.128,2.619,3.558,2.749,3.563,3.667,3.291,3.806,2.472,2.075,0.0
p232_006.wav,5.104,,12.903,8.573,0.861,1.772,3.961,2.944,3.552,3.362,3.345,4.265,4.129,4.499,3.383,2.775,0.176
p232_007.wav,3.956,,8.946,4.481,0.773,1.422,3.861,2.8,3.459,3.24,3.703,3.903,4.752,4.61,3.25,2.706,0.167
p232_009.wav,4.158,,5.754,1.096,0.787,1.431,3.34,2.779,3.176,3.663,3.206,2.902,3.554,4.508,2.285,1.975,0.0
p232_010.wav,2.764,,1.167,-8.176,0.38,1.203,2.477,1.356,1.977,1.41,2.543,2.672,3.771,2.862,1.886,1.753,0.75
p232_011.wav,6.538,,11.853,8.395,0.877,1.974,3.981,3.039,3.45,3.717,4.249,3.62,4.235,4.738,3.271,2.83,0.0
p232_012.wav,4.336,,8.733,4.919,0.824,1.49,3.743,3.031,3.34,3.959,4.378,4.174,4.265,4.633,3.859,3.455,0.0
p232_013.wav,3.943,,6.114,1.487,0.79,1.379,3.337,2.559,3.127,3.271,3.307,3.53,3.643,4.429,2.952,2.551,0.0
p232_014.wav,4.617,,0.435,-2.769,0.618,1.191,3.272,2.772,3.394,3.334,3.31,3.291,4.093,3.974,2.806,2.349,0.267
p232_015.wav,5.32,,11.08,8.953,0.943,1.941,3.852,3.439,3.665,4.171,3.952,3.595,4.093,4.296,3.791,3.402,0.0
p232_016.wav,5.569,,8.746,5.493,0.926,1.972,3.954,3.151,3.497,3.923,3.514,3.073,4.301,4.347,3.243,2.89,0.0
p232_017.wav,2.889,,5.214,-0.878,0.93,1.919,3.363,2.981,3.345,3.861,3.647,3.111,3.896,4.68,2.738,2.334,0.0
p232_019.wav,6.736,,0.325,-3.24,0.868,1.582,3.382,3.054,3.578,3.573,3.709,2.971,3.819,3.916,2.988,2.613,0.0
p232_020.wav,3.617,,10.605,7.759,0.883,1.803,3.679,3.13,3.526,3.822,3.1,3.989,4.044,4.689,3.165,2.912,0.0
p232_021.wav,8.51,,10.929,7.624,0.908,2.151,3.914,3.071,3.476,3.762,3.474,3.963,3.882,4.493,3.341,3.013,0.0
p232_022.wav,5.794,,7.083,5.045,0.84,1.499,3.403,2.891,3.536,3.328,3.743,3.338,4.384,4.496,3.019,2.722,0.056
p232_023.wav,9.769,,4.117,1.106,0.649,1.246,3.313,2.458,3.283,2.838,3.779,3.431,4.477,4.432,2.676,2.286,0.306
