                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  11.586  6.847  -3.448  5.657  12.379  17.481  26.240
SSNR                      824.0   3.645  6.787 -17.039 -1.600   5.191   8.846  18.253
ESTOI                     824.0   0.822  0.126   0.310  0.748   0.848   0.923   0.999
PESQ_WB                   824.0   2.135  0.629   1.042  1.603   2.122   2.612   3.988
DNSMOS_P808               824.0   3.294  0.332   2.352  3.049   3.292   3.548   4.111
DNSMOS_OVRL               824.0   2.902  0.322   1.354  2.744   2.954   3.118   3.555
DNSMOS_SIG                824.0   3.417  0.215   1.903  3.326   3.462   3.558   3.757
DNSMOS_BAK                824.0   3.530  0.495   1.366  3.309   3.653   3.890   4.207
MOS_COL                   824.0   3.504  0.449   2.024  3.192   3.502   3.827   4.715
MOS_DISC                  824.0   3.834  0.521   2.248  3.473   3.858   4.228   4.900
MOS_LOUD                  824.0   3.756  0.353   2.559  3.516   3.750   3.996   4.837
MOS_REVERB                824.0   4.124  0.429   2.881  3.813   4.156   4.467   4.961
MOS_SIG                   824.0   3.192  0.388   1.932  2.943   3.184   3.473   4.495
MOS_OVRL                  824.0   2.789  0.416   1.430  2.532   2.834   3.071   4.094
WER_QuartzNet15x5Base-En  824.0   0.089  0.176   0.000  0.000   0.000   0.111   1.500
