                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.470  6.119  -3.430  4.502  9.896  15.171  26.476
SSNR                      824.0  1.170  6.512 -16.949 -3.971  1.043   6.453  19.008
ESTOI                     824.0  0.828  0.123   0.333  0.758  0.855   0.929   0.999
PESQ_WB                   824.0  2.146  0.698   1.044  1.511  2.100   2.723   4.092
POLQA_WB                  470.0  3.325  0.740   1.420  2.750  3.380   3.880   4.750
DNSMOS_P808               824.0  3.271  0.336   2.349  3.047  3.263   3.521   4.106
DNSMOS_OVRL               824.0  2.936  0.328   1.107  2.798  2.982   3.145   3.552
DNSMOS_SIG                824.0  3.440  0.250   1.367  3.362  3.485   3.578   3.857
DNSMOS_BAK                824.0  3.571  0.494   1.173  3.363  3.697   3.902   4.204
MOS_COL                   824.0  3.592  0.436   2.105  3.309  3.590   3.886   4.681
MOS_DISC                  824.0  3.653  0.500   2.335  3.283  3.651   4.011   4.804
MOS_LOUD                  824.0  3.737  0.369   2.616  3.480  3.746   3.974   4.693
MOS_REVERB                824.0  4.053  0.398   2.720  3.759  4.054   4.367   4.902
MOS_SIG                   824.0  3.189  0.402   1.877  2.898  3.186   3.480   4.556
MOS_OVRL                  824.0  2.765  0.445   1.427  2.455  2.778   3.093   4.228
WER_QuartzNet15x5Base-En  824.0  0.088  0.166   0.000  0.000  0.000   0.125   1.200
