                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  11.501  6.891  -3.431  5.594  12.426  17.439  26.297
SSNR                      824.0   3.572  6.891 -16.950 -1.631   5.025   8.950  18.737
ESTOI                     824.0   0.822  0.125   0.330  0.752   0.844   0.924   0.999
PESQ_WB                   824.0   2.122  0.629   1.041  1.592   2.123   2.587   3.838
DNSMOS_P808               824.0   3.294  0.333   2.335  3.071   3.292   3.536   4.108
DNSMOS_OVRL               824.0   2.914  0.323   1.102  2.757   2.968   3.129   3.542
DNSMOS_SIG                824.0   3.418  0.243   1.224  3.333   3.460   3.573   3.758
DNSMOS_BAK                824.0   3.554  0.476   1.153  3.320   3.676   3.884   4.210
MOS_COL                   824.0   3.508  0.430   1.709  3.209   3.525   3.789   4.617
MOS_DISC                  824.0   3.815  0.530   2.076  3.445   3.856   4.209   4.909
MOS_LOUD                  824.0   3.738  0.361   2.742  3.500   3.731   4.000   4.846
MOS_REVERB                824.0   4.126  0.430   2.846  3.816   4.147   4.487   4.936
MOS_SIG                   824.0   3.195  0.380   2.006  2.962   3.197   3.438   4.468
MOS_OVRL                  824.0   2.787  0.403   1.418  2.554   2.812   3.072   3.958
WER_QuartzNet15x5Base-En  824.0   0.095  0.180   0.000  0.000   0.000   0.125   1.000
