                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.345  5.947  -3.189  4.587  10.012  15.054  27.101
SSNR                      824.0  1.071  6.308 -16.696 -3.794   1.158   5.918  19.757
ESTOI                     824.0  0.833  0.123   0.354  0.764   0.856   0.930   0.999
PESQ_WB                   824.0  2.209  0.718   1.042  1.565   2.208   2.748   4.119
POLQA_WB                  470.0  3.421  0.739   1.360  2.892   3.525   3.980   4.750
DNSMOS_P808               824.0  3.298  0.337   2.401  3.085   3.289   3.542   4.111
DNSMOS_OVRL               824.0  2.934  0.345   1.118  2.824   3.002   3.145   3.460
DNSMOS_SIG                824.0  3.427  0.284   1.217  3.364   3.485   3.570   3.805
DNSMOS_BAK                824.0  3.580  0.521   1.134  3.440   3.723   3.913   4.178
MOS_COL                   824.0  3.599  0.459   2.252  3.308   3.601   3.899   4.684
MOS_DISC                  824.0  3.608  0.496   2.276  3.271   3.589   3.960   4.842
MOS_LOUD                  824.0  3.724  0.354   2.707  3.490   3.722   3.983   4.813
MOS_REVERB                824.0  4.069  0.377   2.967  3.788   4.094   4.357   4.895
MOS_SIG                   824.0  3.209  0.420   1.751  2.913   3.197   3.503   4.533
MOS_OVRL                  824.0  2.790  0.454   1.521  2.468   2.801   3.142   4.196
WER_QuartzNet15x5Base-En  824.0  0.080  0.155   0.000  0.000   0.000   0.111   1.000
