                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  12.017  6.631  -3.366  6.563  12.929  17.707  26.168
SSNR                      824.0   4.322  6.348 -16.873  0.002   5.749   9.140  18.296
ESTOI                     824.0   0.819  0.126   0.269  0.748   0.843   0.921   0.999
PESQ_WB                   824.0   2.122  0.615   1.042  1.616   2.118   2.589   3.778
POLQA_WB                  470.0   3.242  0.741   1.400  2.690   3.205   3.790   4.750
DNSMOS_P808               824.0   3.290  0.332   2.286  3.076   3.276   3.529   4.078
DNSMOS_OVRL               824.0   2.882  0.332   1.103  2.719   2.942   3.100   3.499
DNSMOS_SIG                824.0   3.390  0.267   1.217  3.302   3.443   3.554   3.748
DNSMOS_BAK                824.0   3.519  0.477   1.138  3.317   3.638   3.850   4.167
MOS_COL                   824.0   3.472  0.446   2.201  3.152   3.476   3.782   4.561
MOS_DISC                  824.0   3.852  0.513   2.386  3.513   3.875   4.236   4.922
MOS_LOUD                  824.0   3.767  0.360   2.661  3.503   3.759   4.026   4.780
MOS_REVERB                824.0   4.135  0.441   2.806  3.810   4.180   4.495   4.950
MOS_SIG                   824.0   3.191  0.375   1.869  2.929   3.211   3.429   4.530
MOS_OVRL                  824.0   2.783  0.395   1.424  2.518   2.819   3.058   4.043
WER_QuartzNet15x5Base-En  824.0   0.091  0.178   0.000  0.000   0.000   0.125   1.000
