                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  11.941  6.795  -3.393  6.120  12.934  17.800  26.208
SSNR                      824.0   4.132  6.708 -16.951 -0.492   5.687   9.340  18.268
ESTOI                     824.0   0.820  0.127   0.254  0.746   0.845   0.923   0.999
PESQ_WB                   824.0   2.149  0.625   1.044  1.650   2.140   2.625   3.786
POLQA_WB                  470.0   3.261  0.750   1.450  2.710   3.245   3.808   4.750
DNSMOS_P808               824.0   3.314  0.331   2.291  3.103   3.306   3.557   4.143
DNSMOS_OVRL               824.0   2.915  0.318   1.134  2.736   2.956   3.140   3.554
DNSMOS_SIG                824.0   3.410  0.234   1.350  3.314   3.458   3.564   3.778
DNSMOS_BAK                824.0   3.572  0.470   1.078  3.320   3.696   3.913   4.195
MOS_COL                   824.0   3.536  0.443   2.382  3.233   3.529   3.862   4.797
MOS_DISC                  824.0   3.862  0.517   2.399  3.484   3.914   4.266   4.961
MOS_LOUD                  824.0   3.788  0.364   2.807  3.555   3.783   4.051   4.829
MOS_REVERB                824.0   4.140  0.444   2.847  3.805   4.176   4.504   4.948
MOS_SIG                   824.0   3.224  0.404   1.917  2.946   3.216   3.490   4.693
MOS_OVRL                  824.0   2.825  0.417   1.424  2.573   2.836   3.109   4.562
WER_QuartzNet15x5Base-En  824.0   0.092  0.177   0.000  0.000   0.000   0.125   1.500
