                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.186  5.887  -3.289  4.410  9.622  14.674  26.760
SSNR                      824.0  0.864  6.274 -16.791 -3.967  0.912   5.948  19.232
ESTOI                     824.0  0.831  0.121   0.296  0.764  0.851   0.929   0.999
PESQ_WB                   824.0  2.165  0.705   1.048  1.522  2.138   2.714   3.938
DNSMOS_P808               824.0  3.282  0.335   2.153  3.065  3.271   3.527   4.117
DNSMOS_OVRL               824.0  2.927  0.327   1.125  2.799  2.987   3.130   3.446
DNSMOS_SIG                824.0  3.439  0.257   1.237  3.377  3.487   3.572   3.832
DNSMOS_BAK                824.0  3.556  0.499   1.129  3.378  3.676   3.901   4.187
MOS_COL                   824.0  3.586  0.444   1.416  3.282  3.581   3.898   4.748
MOS_DISC                  824.0  3.598  0.477   2.257  3.290  3.593   3.911   4.883
MOS_LOUD                  824.0  3.698  0.366   2.475  3.448  3.694   3.943   4.793
MOS_REVERB                824.0  4.072  0.384   2.947  3.801  4.090   4.357   4.878
MOS_SIG                   824.0  3.202  0.405   1.793  2.932  3.208   3.476   4.584
MOS_OVRL                  824.0  2.774  0.454   1.383  2.456  2.812   3.100   4.490
WER_QuartzNet15x5Base-En  824.0  0.078  0.160   0.000  0.000  0.000   0.100   1.000
