                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  11.318  5.927  -3.349  6.635  12.184  16.602  25.395
SSNR                      824.0   3.921  5.561 -16.673  0.304   4.708   8.102  17.334
ESTOI                     824.0   0.810  0.131   0.290  0.732   0.835   0.917   0.999
PESQ_WB                   824.0   2.106  0.619   1.040  1.606   2.078   2.566   3.734
DNSMOS_P808               824.0   3.276  0.327   2.429  3.044   3.270   3.524   4.078
DNSMOS_OVRL               824.0   2.836  0.311   1.084  2.646   2.871   3.057   3.506
DNSMOS_SIG                824.0   3.351  0.241   1.203  3.228   3.391   3.515   3.772
DNSMOS_BAK                824.0   3.508  0.431   1.076  3.274   3.595   3.828   4.159
MOS_COL                   824.0   3.549  0.425   2.194  3.250   3.574   3.862   4.784
MOS_DISC                  824.0   3.842  0.514   2.153  3.475   3.873   4.233   4.921
MOS_LOUD                  824.0   3.822  0.359   2.790  3.562   3.842   4.077   4.951
MOS_REVERB                824.0   4.103  0.451   2.667  3.776   4.132   4.474   4.915
MOS_SIG                   824.0   3.180  0.383   2.111  2.935   3.175   3.412   4.284
MOS_OVRL                  824.0   2.784  0.392   1.508  2.552   2.787   3.055   4.156
WER_QuartzNet15x5Base-En  824.0   0.102  0.192   0.000  0.000   0.000   0.143   1.500
