FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,15.358,6.024,0.825,2.915,3.388,3.245,3.605,3.964,3.538,3.545,3.221,3.478,3.112,2.956,0.0
p232_002.wav,2.715,,11.275,5.943,0.954,3.483,3.721,3.236,3.624,3.845,4.372,4.213,4.303,4.124,4.263,3.883,0.0
p232_003.wav,7.185,,6.693,-0.187,0.938,3.047,3.834,3.079,3.481,3.811,3.4,4.119,3.92,4.631,3.489,3.185,0.05
p232_005.wav,6.247,,1.957,-2.786,0.789,1.562,3.776,2.534,3.582,2.555,3.192,3.257,3.185,3.761,2.371,2.155,0.0
p232_006.wav,5.104,,17.377,11.396,0.904,2.739,4.065,3.228,3.525,4.028,3.78,4.2,3.849,4.215,3.692,3.385,0.059
p232_007.wav,3.956,,13.619,7.09,0.908,2.374,3.934,3.061,3.653,3.43,4.038,4.242,4.166,4.372,3.803,2.836,0.0
p232_009.wav,4.158,,6.979,2.003,0.894,2.212,3.685,3.02,3.434,3.738,3.237,4.487,4.033,4.767,2.977,2.623,0.0
p232_010.wav,2.764,,3.139,-6.609,0.628,1.382,3.247,2.44,3.544,2.466,3.518,2.781,3.366,3.299,2.279,1.891,0.0
p232_011.wav,6.538,,17.798,11.454,0.936,2.909,4.072,3.337,3.628,4.015,3.26,4.102,4.5,4.825,3.672,3.264,0.0
p232_012.wav,4.336,,13.556,8.055,0.932,2.545,3.749,3.268,3.599,3.965,3.815,3.752,3.856,4.285,3.488,3.101,0.0
p232_013.wav,3.943,,7.764,0.861,0.903,1.9,3.489,3.134,3.608,3.671,3.281,3.145,3.658,4.211,2.901,2.204,0.0
p232_014.wav,4.617,,3.667,-1.22,0.825,1.491,3.398,2.949,3.637,3.305,2.858,3.358,4.357,4.293,2.524,2.187,0.0
p232_015.wav,5.32,,16.797,12.615,0.987,3.795,4.009,3.431,3.677,4.113,3.984,3.718,3.911,3.993,3.88,3.543,0.0
p232_016.wav,5.569,,11.873,7.875,0.979,3.518,4.084,3.237,3.588,3.926,3.762,3.573,3.782,4.489,3.69,3.22,0.0
