                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.197  5.898  -3.324  4.596  9.722  14.532  26.845
SSNR                      824.0  0.837  6.299 -16.807 -4.152  0.865   5.959  19.407
ESTOI                     824.0  0.831  0.121   0.354  0.760  0.854   0.929   0.999
PESQ_WB                   824.0  2.148  0.710   1.046  1.489  2.117   2.722   4.100
DNSMOS_P808               824.0  3.294  0.331   2.345  3.079  3.283   3.535   4.100
DNSMOS_OVRL               824.0  2.932  0.307   1.084  2.792  2.981   3.133   3.512
DNSMOS_SIG                824.0  3.444  0.227   1.200  3.363  3.492   3.575   3.797
DNSMOS_BAK                824.0  3.564  0.472   1.190  3.375  3.678   3.897   4.185
MOS_COL                   824.0  3.631  0.436   2.060  3.354  3.630   3.947   4.656
MOS_DISC                  824.0  3.642  0.476   2.096  3.319  3.646   3.983   4.831
MOS_LOUD                  824.0  3.730  0.348   2.596  3.488  3.732   3.951   4.814
MOS_REVERB                824.0  4.053  0.386   2.958  3.756  4.074   4.346   4.883
MOS_SIG                   824.0  3.225  0.398   2.141  2.931  3.232   3.484   4.589
MOS_OVRL                  824.0  2.801  0.446   1.495  2.464  2.830   3.127   4.190
WER_QuartzNet15x5Base-En  824.0  0.082  0.159   0.000  0.000  0.000   0.111   1.000
