                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.417  5.953  -3.196  4.664  9.997  14.924  27.055
SSNR                      824.0  1.146  6.323 -16.759 -3.756  1.254   6.250  19.692
ESTOI                     824.0  0.832  0.125   0.291  0.765  0.859   0.931   0.999
PESQ_WB                   824.0  2.211  0.728   1.040  1.555  2.192   2.789   4.147
POLQA_WB                  470.0  3.417  0.746   1.370  2.892  3.520   4.008   4.750
DNSMOS_P808               824.0  3.290  0.348   2.229  3.059  3.286   3.543   4.090
DNSMOS_OVRL               824.0  2.929  0.359   1.097  2.801  2.999   3.146   3.466
DNSMOS_SIG                824.0  3.420  0.312   1.198  3.365  3.488   3.571   3.785
DNSMOS_BAK                824.0  3.576  0.534   1.082  3.420  3.730   3.921   4.175
MOS_COL                   824.0  3.581  0.462   2.247  3.272  3.594   3.915   4.778
MOS_DISC                  824.0  3.619  0.506   1.885  3.252  3.628   3.970   4.795
MOS_LOUD                  824.0  3.731  0.365   2.595  3.488  3.720   3.975   4.784
MOS_REVERB                824.0  4.096  0.392   3.007  3.810  4.122   4.403   4.891
MOS_SIG                   824.0  3.226  0.414   1.948  2.937  3.244   3.501   4.822
MOS_OVRL                  824.0  2.789  0.465   1.397  2.451  2.815   3.134   4.621
WER_QuartzNet15x5Base-En  824.0  0.079  0.159   0.000  0.000  0.000   0.100   1.000
