path,MOS_COL,MOS_DISC,MOS_LOUD,MOS_NOISE,MOS_REVERB,MOS_SIG,MOS_OVRL
/data/datasets/LRS3/trainval/5aH2Ppjpcho/50008.wav,2.994781970977783,2.720946788787842,3.394843816757202,2.3229095935821533,3.238411426544189,2.432657241821289,2.288156509399414
/data/datasets/LRS3/trainval/IU4A4h1ACJs/50004.wav,3.787770748138428,4.31018590927124,3.267185926437378,2.604325771331787,4.257583141326904,3.5325422286987305,2.236422300338745
/data/datasets/LRS3/trainval/AbqsMDfX9Ig/50007.wav,4.177314758300781,4.594898223876953,4.15105676651001,3.463797092437744,4.511770248413086,4.123255729675293,3.448450088500977
/data/datasets/LRS3/trainval/V3CLRL32Mcw/50002.wav,2.551287174224853,4.147121906280518,3.3888134956359863,2.702992677688598,4.426866054534912,2.709296226501465,2.1972403526306152
/data/datasets/LRS3/trainval/jYperQKUkcs/50004.wav,3.6902222633361816,3.536531686782837,3.4338879585266118,3.409364700317383,4.1251068115234375,3.013084888458252,2.8319568634033203
/data/datasets/LRS3/trainval/ts9JpM0gHMU/50019.wav,3.344625473022461,3.8172473907470703,2.513587474822998,2.5601162910461426,3.5605573654174805,3.0675508975982666,2.2610371112823486
/data/datasets/LRS3/trainval/dcwuBo4PvE0/50012.wav,3.2546050548553467,3.064643621444702,3.741986751556397,2.8743131160736084,3.345012903213501,2.917409420013428,2.6139800548553467
/data/datasets/LRS3/trainval/cSsxBTNF2U8/50001.wav,3.058180809020996,4.133777618408203,3.563326835632324,2.6290082931518555,3.886919736862183,3.220362663269043,2.873967170715332
/data/datasets/LRS3/trainval/8s3bdVxuFBs/50001.wav,3.0315916538238525,3.892576932907105,4.294251918792725,3.275998830795288,4.411181449890137,3.469041585922241,3.1039998531341557
/data/datasets/LRS3/trainval/EijI8QaExDg/50002.wav,2.9593183994293213,4.338504791259766,2.869173526763916,3.521936178207397,3.237122058868408,2.9990241527557373,2.6010780334472656
/data/datasets/LRS3/trainval/wSepGxx36To/50011.wav,3.380702495574951,4.329266548156738,3.893135786056519,2.9256763458251958,4.548587322235107,3.1177821159362797,2.7258195877075195
/data/datasets/LRS3/trainval/7c5t6FkvUG0/50003.wav,3.996747732162476,4.415104866027832,3.189401865005493,3.825068473815918,3.660634756088257,3.607166767120361,3.091963052749634
/data/datasets/LRS3/trainval/u9Lu85L111Y/50007.wav,3.3806304931640625,3.589064121246338,3.142173290252685,2.8568711280822754,2.766355037689209,2.7415871620178223,2.4598450660705566
/data/datasets/LRS3/trainval/aI8KiPiVLyY/50010.wav,3.734663248062134,3.2352747917175293,3.32593846321106,3.341026306152344,3.957499027252197,3.38167405128479,2.929619312286377
/data/datasets/LRS3/trainval/Jp9b2Hf7QWg/50002.wav,2.719849109649658,3.854942798614502,2.9586424827575684,2.901886463165283,2.828563690185547,2.848906993865967,2.5496366024017334
/data/datasets/LRS3/trainval/wZ2TF8SPGQ4/50002.wav,2.9629509449005127,3.20612907409668,3.682817459106445,3.206295251846313,3.3245651721954346,2.8917248249053955,2.5950655937194824
/data/datasets/LRS3/trainval/BjclkhNAO0s/50002.wav,3.207008123397827,4.067399978637695,3.4345016479492188,3.813074350357056,3.7124624252319336,3.3961873054504395,2.9679830074310303
