filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_006.wav,5.1035,16000,1,3.575575,3.9429934,3.9599771,3.1694015868991956,3.513464761330896,3.9114172448881144,4.0502257
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_002.wav,2.7151875,16000,1,3.7106822,4.107617,3.9431572,3.253499760413191,3.603152862098079,3.901854120613832,3.6435056
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_014.wav,4.616875,16000,1,3.3495674,4.2124314,3.2208946,3.0231994797684933,3.6578851165999224,3.420919327375195,3.199708
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_023.wav,9.768875,16000,1,2.8666039,4.216832,2.5026717,2.687606964856672,3.6601427388306154,2.8064512488736435,3.1983063
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_031.wav,2.2903125,16000,1,3.4136157,3.8350034,3.8614037,3.065333555954285,3.452158875387432,3.8543114115255346,3.4920828
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_015.wav,5.3199375,16000,1,3.961,4.212946,4.3103395,3.4027835353820857,3.6581492323179035,4.093679853657628,3.9626179
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_010.wav,2.764375,16000,2,1.2947314,1.8050108,1.2097037,1.3767738187343752,1.9347227870361596,1.3577301468973635,2.5668254
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_036.wav,2.843375,16000,2,1.1592091,1.4847816,1.2047193,1.248030631650584,1.6318635304984153,1.3512672783894244,2.7015676
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_042.wav,2.5135625,16000,1,3.6359801,4.0137753,4.0439844,3.2073063652500866,3.5525850609117793,3.9580650067822187,4.121548
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_033.wav,1.4479375,16000,2,3.0825062,3.756802,3.3576908,2.8414747647585124,3.4065122822036304,3.5224043532154905,3.3604455
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_017.wav,2.8893125,16000,2,3.435688,3.853256,3.8810816,3.079545968140272,3.461620793363016,3.865172827187188,3.4340644
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_024.wav,5.5204375,16000,2,3.7086582,4.129712,3.899109,3.252174733328244,3.614843701830343,3.875552156266507,3.9703376
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_035.wav,3.1585,16000,3,3.6509285,4.1840553,3.7746093,3.2162540591487327,3.6430707109084093,3.8009205625465454,3.3384686
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_016.wav,5.5693125,16000,2,3.699164,4.100399,4.0148387,3.246356636083507,3.5993155166926503,3.941485723168657,4.1151876
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_034.wav,1.472,16000,2,2.4608183,3.5514898,2.421337,2.3808958612790727,3.280430201328881,2.7280837024045526,2.9033961
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_045.wav,1.2375625,16000,1,3.312083,3.6001296,4.0531454,2.9982828984364005,3.3120588445863146,3.963039565891153,3.329696
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_022.wav,5.7939375,16000,2,3.2428794,4.185356,3.089438,2.951765857743518,3.643916275769125,3.318599009880211,3.5415182
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_001.wav,1.7413125,16000,4,3.7478373,4.0674186,4.2105923,3.2761284256462986,3.5816502268340615,4.04472726382715,3.7911856
/data3/jrichter/logs/sgmse_logs/66qp3wsp-LRS3_50_RND/250k/p232_011.wav,6.538125,16000,4,3.6360266,4.2581553,3.5668712,3.207022284186749,3.680525118409042,3.667775893141183,3.9443188
