Unnamed: 0,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
24414,/data/datasets/LRS3/trainval/xRL2vVAa47I/50012.wav,6.208,16000,3,3.9669654,4.2870207,4.20516,3.4062286670476376,3.6956996421979222,4.04230992706822,3.9484456
29525,/data/datasets/LRS3/trainval/jobYTQTgeUE/50023.wav,6.016,16000,3,3.865451,4.2242393,4.2055173,3.34676275217811,3.663908589997188,4.042261507725575,3.861985
10040,/data/datasets/LRS3/trainval/w96osGZaS74/50007.wav,4.608,16000,1,3.9113092,4.2245054,4.204762,3.373823684361808,3.6640714263342087,4.042160026181361,3.8509123
22846,/data/datasets/LRS3/trainval/ZVS5I2RMTGM/50011.wav,2.176,16000,8,3.587112,3.9156077,4.20565,3.1764877902916786,3.497954954269773,4.042104969914931,3.6979337
7971,/data/datasets/LRS3/trainval/tRjqFPwcJgY/50001.wav,5.568,16000,2,3.8439252,4.1236706,4.205036,3.3337911540746483,3.6113789424626153,4.0420606224634525,3.792954
13901,/data/datasets/LRS3/trainval/eHlu6ViSwxo/50006.wav,5.888,16000,2,3.7108784,3.9652436,4.205234,3.253206644999322,3.525487927478263,4.042048039446543,3.830813
16759,/data/datasets/LRS3/trainval/M5tre30cRwU/50002.wav,3.328,16000,4,3.860116,4.1825275,4.205554,3.3434525561259623,3.6423449051093977,4.042047605412768,3.8124552
10975,/data/datasets/LRS3/trainval/eCknUJJc3qU/50002.wav,5.632,16000,2,3.82854,4.2408714,4.204337,3.3248329404616825,3.672408331426027,4.041943337976569,3.4507325
13712,/data/datasets/LRS3/trainval/ofjRnIpXBF0/50003.wav,3.648,16000,5,3.9130547,4.268419,4.206171,3.374555194774812,3.686232072603097,4.04188151311463,3.4075387
24412,/data/datasets/LRS3/trainval/xRL2vVAa47I/50013.wav,6.144,16000,3,3.7931416,4.09777,4.2053533,3.303376873035809,3.597681737466685,4.0418063684966805,3.8913949
13316,/data/datasets/LRS3/trainval/eNDhBSR1DZ0/50013.wav,3.264,16000,4,3.7680051,4.103598,4.209053,3.28810620775246,3.6009158340789837,4.041720145931813,3.8403163
15057,/data/datasets/LRS3/trainval/qzR62JJCMBQ/50022.wav,4.8,16000,1,3.7012982,4.0359664,4.2038684,3.247738513003664,3.5646765264524216,4.041711442402682,3.8187563
12210,/data/datasets/LRS3/trainval/zXCiv4sc5eY/50002.wav,1.536,16000,3,3.485109,3.7619426,4.20399,3.111697804985092,3.409561807294264,4.041690537050039,3.515789
9564,/data/datasets/LRS3/trainval/5AN5fPFtV0U/50010.wav,2.048,16000,7,3.5703626,3.839253,4.2064466,3.1646559486452617,3.4529581911565685,4.041647737609461,3.4412632
26596,/data/datasets/LRS3/trainval/4ef6KJ7vfIw/50003.wav,1.472,16000,2,3.6724274,3.9859366,4.204281,3.2297816874438343,3.5371396505198582,4.041529648531208,3.092177
26436,/data/datasets/LRS3/trainval/b2LbuqoNGGI/50002.wav,4.608,16000,1,3.1967824,3.5519247,4.203492,2.920448449661277,3.282159194647166,4.041522514717711,3.9483824
12457,/data/datasets/LRS3/trainval/LNohxpJntZo/50008.wav,1.92,16000,6,3.5090244,3.8897603,4.2043433,3.127051123205321,3.4834149646359163,4.041422010503291,3.1160107
4497,/data/datasets/LRS3/trainval/3HaBoNSlpHU/50003.wav,6.144,16000,3,3.8317108,4.2401543,4.2037463,3.3267284399056574,3.672033107505827,4.041400579110852,3.422652
14842,/data/datasets/LRS3/trainval/B0ESVNX1SYk/50011.wav,5.888,16000,2,3.935626,4.3143835,4.2031403,3.388030048509827,3.709351405445705,4.041339302202692,3.7723174
12204,/data/datasets/LRS3/trainval/DkyMCCnNI3Q/50006.wav,6.08,16000,3,3.8870544,4.211573,4.203206,3.3594539528916574,3.657404116259112,4.041242166777868,3.512532
12246,/data/datasets/LRS3/trainval/2SlbsnaSNNM/50008.wav,2.304,16000,1,3.9322884,4.2712874,4.202926,3.386091139786767,3.687809753047044,4.041238214887976,3.48985
