                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.956  5.733  -3.222  5.402  10.328  15.329  25.230
SSNR                      824.0  1.901  5.938 -16.831 -2.420   2.182   6.616  18.041
ESTOI                     824.0  0.837  0.117   0.320  0.770   0.862   0.929   0.999
PESQ_WB                   824.0  2.310  0.735   1.037  1.726   2.270   2.859   4.216
POLQA_WB                  470.0  3.529  0.694   1.480  3.042   3.605   4.060   4.750
DNSMOS_P808               824.0  3.338  0.322   2.443  3.097   3.332   3.577   4.121
DNSMOS_OVRL               824.0  2.986  0.257   1.282  2.843   3.018   3.173   3.520
DNSMOS_SIG                824.0  3.462  0.162   2.021  3.376   3.490   3.579   3.763
DNSMOS_BAK                824.0  3.658  0.388   1.264  3.503   3.753   3.929   4.172
MOS_COL                   824.0  3.698  0.447   2.328  3.393   3.726   4.026   4.968
MOS_DISC                  824.0  3.704  0.473   2.380  3.340   3.723   4.046   4.869
MOS_LOUD                  824.0  3.729  0.360   2.766  3.480   3.724   3.974   4.902
MOS_REVERB                824.0  4.145  0.364   2.908  3.891   4.156   4.419   4.908
MOS_SIG                   824.0  3.378  0.429   2.076  3.075   3.394   3.662   4.795
MOS_OVRL                  824.0  2.929  0.454   1.528  2.612   2.961   3.245   4.549
WER_QuartzNet15x5Base-En  824.0  0.078  0.156   0.000  0.000   0.000   0.100   1.000
