                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  12.049  6.436  -3.235  6.641  12.858  17.553  26.637
SSNR                      824.0   4.259  6.467 -16.833 -0.411   5.326   9.118  19.328
ESTOI                     824.0   0.840  0.116   0.289  0.772   0.864   0.931   0.999
PESQ_WB                   824.0   2.365  0.771   1.044  1.720   2.346   2.984   4.292
POLQA_WB                  470.0   3.611  0.694   1.310  3.110   3.710   4.148   4.750
DNSMOS_P808               824.0   3.399  0.316   2.442  3.176   3.402   3.633   4.264
DNSMOS_OVRL               824.0   3.036  0.252   2.044  2.884   3.060   3.229   3.550
DNSMOS_SIG                824.0   3.488  0.156   2.759  3.398   3.524   3.597   3.765
DNSMOS_BAK                824.0   3.704  0.365   1.936  3.509   3.799   3.977   4.197
MOS_COL                   824.0   3.745  0.404   2.354  3.471   3.750   4.039   4.828
MOS_DISC                  824.0   3.828  0.469   1.649  3.500   3.850   4.180   4.881
MOS_LOUD                  824.0   3.723  0.358   2.642  3.487   3.713   3.978   4.796
MOS_REVERB                824.0   4.237  0.370   2.730  3.973   4.262   4.538   4.936
MOS_SIG                   824.0   3.498  0.392   2.258  3.247   3.487   3.772   4.605
MOS_OVRL                  824.0   3.073  0.405   1.852  2.824   3.086   3.348   4.414
WER_QuartzNet15x5Base-En  824.0   0.082  0.164   0.000  0.000   0.000   0.100   1.000
