                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.618  5.617  -3.273  5.356  10.166  15.075  25.081
SSNR                      824.0  1.469  5.897 -16.847 -2.789   1.632   6.157  16.954
ESTOI                     824.0  0.837  0.116   0.358  0.772   0.860   0.929   0.999
PESQ_WB                   824.0  2.316  0.762   1.039  1.682   2.287   2.908   4.247
POLQA_WB                  470.0  3.562  0.693   1.500  3.070   3.630   4.088   4.750
DNSMOS_P808               824.0  3.356  0.319   2.479  3.125   3.356   3.597   4.164
DNSMOS_OVRL               824.0  2.990  0.249   1.591  2.852   3.019   3.159   3.490
DNSMOS_SIG                824.0  3.472  0.162   2.344  3.392   3.504   3.582   3.788
DNSMOS_BAK                824.0  3.648  0.374   1.511  3.482   3.731   3.920   4.184
MOS_COL                   824.0  3.742  0.427   2.158  3.459   3.768   4.055   4.731
MOS_DISC                  824.0  3.667  0.488   2.318  3.295   3.684   4.027   4.860
MOS_LOUD                  824.0  3.742  0.356   2.491  3.504   3.738   3.987   4.766
MOS_REVERB                824.0  4.140  0.371   2.995  3.891   4.164   4.419   4.927
MOS_SIG                   824.0  3.423  0.431   2.141  3.133   3.431   3.726   4.610
MOS_OVRL                  824.0  2.978  0.446   1.709  2.675   3.029   3.275   4.439
WER_QuartzNet15x5Base-En  824.0  0.078  0.154   0.000  0.000   0.000   0.100   1.000
