                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  10.374  6.036  -3.280  5.643  10.872  15.792  26.203
SSNR                      824.0   2.427  6.294 -16.868 -2.336   2.746   7.459  19.085
ESTOI                     824.0   0.840  0.114   0.372  0.770   0.863   0.930   0.999
PESQ_WB                   824.0   2.363  0.781   1.044  1.708   2.324   2.984   4.314
POLQA_WB                  470.0   3.602  0.678   1.560  3.092   3.690   4.130   4.750
DNSMOS_P808               824.0   3.385  0.313   2.571  3.158   3.386   3.611   4.196
DNSMOS_OVRL               824.0   3.024  0.238   2.000  2.883   3.048   3.198   3.627
DNSMOS_SIG                824.0   3.479  0.155   2.720  3.391   3.510   3.587   3.814
DNSMOS_BAK                824.0   3.704  0.338   2.033  3.539   3.782   3.949   4.229
MOS_COL                   824.0   3.765  0.402   2.611  3.501   3.795   4.051   4.695
MOS_DISC                  824.0   3.746  0.471   2.075  3.408   3.749   4.100   4.832
MOS_LOUD                  824.0   3.752  0.356   2.712  3.517   3.744   3.988   4.878
MOS_REVERB                824.0   4.156  0.366   2.873  3.898   4.184   4.432   4.902
MOS_SIG                   824.0   3.479  0.393   2.276  3.210   3.473   3.751   4.772
MOS_OVRL                  824.0   3.043  0.406   1.785  2.787   3.061   3.318   4.506
WER_QuartzNet15x5Base-En  824.0   0.080  0.167   0.000  0.000   0.000   0.100   1.000
