                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.970  5.752  -3.278  5.376  10.282  15.322  25.848
SSNR                      824.0  1.921  5.959 -16.843 -2.432   2.108   6.526  19.440
ESTOI                     824.0  0.838  0.116   0.327  0.773   0.862   0.931   0.999
PESQ_WB                   824.0  2.338  0.722   1.036  1.776   2.298   2.874   4.213
POLQA_WB                  470.0  3.551  0.684   1.560  3.100   3.605   4.088   4.750
DNSMOS_P808               824.0  3.349  0.319   2.447  3.124   3.346   3.579   4.217
DNSMOS_OVRL               824.0  2.991  0.252   1.876  2.851   3.024   3.169   3.511
DNSMOS_SIG                824.0  3.462  0.156   2.551  3.372   3.490   3.576   3.749
DNSMOS_BAK                824.0  3.669  0.374   1.808  3.505   3.756   3.932   4.181
MOS_COL                   824.0  3.710  0.429   2.448  3.446   3.737   4.028   4.616
MOS_DISC                  824.0  3.708  0.465   2.262  3.367   3.724   4.038   4.764
MOS_LOUD                  824.0  3.748  0.364   2.557  3.509   3.750   3.985   4.822
MOS_REVERB                824.0  4.167  0.346   2.954  3.930   4.180   4.406   4.966
MOS_SIG                   824.0  3.411  0.422   1.992  3.130   3.419   3.704   4.675
MOS_OVRL                  824.0  2.955  0.443   1.701  2.661   2.973   3.274   4.328
WER_QuartzNet15x5Base-En  824.0  0.077  0.153   0.000  0.000   0.000   0.100   1.000
