                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.909  5.805  -3.316  5.320  10.317  15.404  26.676
SSNR                      824.0  1.829  6.056 -16.915 -2.639   1.985   6.756  19.655
ESTOI                     824.0  0.837  0.116   0.371  0.769   0.862   0.930   0.999
PESQ_WB                   824.0  2.310  0.767   1.039  1.687   2.275   2.924   4.376
POLQA_WB                  470.0  3.538  0.704   1.480  3.032   3.600   4.080   4.750
DNSMOS_P808               824.0  3.347  0.323   2.379  3.110   3.337   3.588   4.259
DNSMOS_OVRL               824.0  3.001  0.249   1.368  2.860   3.034   3.177   3.507
DNSMOS_SIG                824.0  3.474  0.162   1.956  3.390   3.505   3.585   3.823
DNSMOS_BAK                824.0  3.669  0.368   1.455  3.517   3.749   3.927   4.180
MOS_COL                   824.0  3.731  0.422   2.495  3.442   3.748   4.046   4.975
MOS_DISC                  824.0  3.727  0.474   2.240  3.421   3.732   4.052   4.907
MOS_LOUD                  824.0  3.730  0.368   2.645  3.483   3.724   3.986   4.845
MOS_REVERB                824.0  4.153  0.361   2.834  3.913   4.166   4.414   4.958
MOS_SIG                   824.0  3.422  0.428   2.224  3.133   3.444   3.713   4.950
MOS_OVRL                  824.0  2.980  0.448   1.651  2.690   3.007   3.295   4.899
WER_QuartzNet15x5Base-En  824.0  0.077  0.154   0.000  0.000   0.000   0.100   1.000
