                          count    mean    std    min     25%     50%     75%     max
DURATION                  824.0   2.515  0.890  1.238   1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN    NaN     NaN     NaN     NaN     NaN
SI-SDR                    824.0  13.595  4.653 -0.180  10.331  14.144  17.390  24.662
SSNR                      824.0   6.597  3.863 -7.119   4.316   6.852   9.346  17.271
ESTOI                     824.0   0.825  0.123  0.266   0.753   0.851   0.924   0.999
PESQ_WB                   824.0   2.276  0.714  1.039   1.682   2.234   2.856   4.060
POLQA_WB                  470.0   3.407  0.786  1.330   2.872   3.470   4.057   4.750
DNSMOS_P808               824.0   3.471  0.310  2.357   3.268   3.452   3.697   4.316
DNSMOS_OVRL               824.0   3.087  0.269  1.657   2.938   3.127   3.293   3.611
DNSMOS_SIG                824.0   3.408  0.211  2.433   3.276   3.448   3.565   3.799
DNSMOS_BAK                824.0   3.938  0.264  1.718   3.860   4.006   4.103   4.243
MOS_COL                   824.0   3.567  0.372  2.452   3.329   3.578   3.823   4.542
MOS_DISC                  824.0   3.994  0.357  2.671   3.771   4.002   4.254   4.856
MOS_LOUD                  824.0   3.821  0.350  2.571   3.580   3.838   4.068   4.729
MOS_REVERB                824.0   4.399  0.314  3.371   4.203   4.464   4.638   4.920
MOS_SIG                   824.0   3.615  0.361  2.521   3.372   3.634   3.867   4.608
MOS_OVRL                  824.0   3.237  0.354  1.999   3.001   3.244   3.487   4.345
WER_QuartzNet15x5Base-En  824.0   0.109  0.197  0.000   0.000   0.000   0.154   1.000
