                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  10.259  4.851  -2.496  6.735  10.546  13.990  21.846
SSNR                      824.0   3.773  4.367 -14.722  0.962   4.263   7.101  12.827
ESTOI                     824.0   0.763  0.136   0.219  0.689   0.792   0.867   0.995
PESQ_WB                   824.0   1.879  0.586   1.053  1.396   1.748   2.259   3.592
POLQA_WB                  470.0   2.828  0.873   1.110  2.110   2.780   3.548   4.710
DNSMOS_P808               824.0   3.379  0.306   2.567  3.169   3.380   3.602   4.232
DNSMOS_OVRL               824.0   2.818  0.337   1.484  2.630   2.868   3.061   3.551
DNSMOS_SIG                824.0   3.149  0.314   1.657  2.987   3.210   3.366   3.752
DNSMOS_BAK                824.0   3.838  0.243   2.371  3.729   3.890   4.008   4.214
MOS_COL                   824.0   3.541  0.388   2.123  3.276   3.539   3.813   4.684
MOS_DISC                  824.0   3.751  0.446   2.083  3.462   3.762   4.055   4.828
MOS_LOUD                  824.0   3.864  0.345   2.701  3.625   3.872   4.098   4.962
MOS_REVERB                824.0   4.197  0.370   2.909  3.953   4.240   4.478   4.905
MOS_SIG                   824.0   3.444  0.363   2.037  3.214   3.454   3.682   4.474
MOS_OVRL                  824.0   3.062  0.323   1.743  2.854   3.078   3.268   4.097
WER_QuartzNet15x5Base-En  824.0   0.161  0.233   0.000  0.000   0.000   0.250   1.250
