                          count    mean    std    min     25%     50%     75%     max
DURATION                  824.0   2.515  0.890  1.238   1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN    NaN     NaN     NaN     NaN     NaN
SI-SDR                    824.0  17.072  4.727 -0.006  14.989  17.862  20.246  26.295
SSNR                      824.0   8.643  4.146 -8.654   6.281   8.914  11.533  19.236
ESTOI                     824.0   0.840  0.117  0.322   0.773   0.864   0.933   0.999
PESQ_WB                   824.0   2.396  0.697  1.059   1.829   2.406   2.927   4.333
POLQA_WB                  470.0   3.559  0.719  1.410   3.062   3.655   4.158   4.750
DNSMOS_P808               824.0   3.493  0.305  2.490   3.284   3.498   3.705   4.273
DNSMOS_OVRL               824.0   3.167  0.247  2.125   3.034   3.217   3.344   3.598
DNSMOS_SIG                824.0   3.474  0.189  2.517   3.370   3.515   3.606   3.783
DNSMOS_BAK                824.0   3.975  0.244  2.135   3.919   4.044   4.125   4.249
MOS_COL                   824.0   3.650  0.374  2.525   3.380   3.660   3.916   4.895
MOS_DISC                  824.0   4.021  0.346  2.619   3.796   4.018   4.269   4.869
MOS_LOUD                  824.0   3.817  0.332  2.739   3.600   3.798   4.031   4.777
MOS_REVERB                824.0   4.435  0.305  2.970   4.268   4.483   4.661   4.921
MOS_SIG                   824.0   3.640  0.357  2.453   3.400   3.666   3.883   4.867
MOS_OVRL                  824.0   3.284  0.356  2.246   3.040   3.284   3.528   4.818
WER_QuartzNet15x5Base-En  824.0   0.094  0.179  0.000   0.000   0.000   0.125   1.000
