FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,15.39,6.054,0.839,3.084,,3.781,3.264,3.552,4.053,3.676,3.549,3.092,3.529,3.234,2.954,0.0
p232_002.wav,2.715,,11.157,5.632,0.954,3.524,4.24,3.73,3.258,3.64,3.866,4.419,3.918,3.999,4.657,4.345,3.958,0.0
p232_003.wav,7.185,,6.633,-0.324,0.933,3.174,4.34,3.836,3.097,3.527,3.77,3.402,3.597,3.922,4.552,3.696,3.293,0.05
p232_005.wav,6.247,,4.539,1.291,0.817,1.878,2.53,3.964,3.193,3.682,3.693,3.725,3.279,3.308,4.022,2.687,2.295,0.0
p232_006.wav,5.104,,17.479,11.441,0.91,2.846,3.6,4.091,3.255,3.563,4.01,3.912,3.673,4.211,4.377,4.023,3.606,0.059
p232_007.wav,3.956,,13.539,7.155,0.911,2.417,3.38,3.974,3.172,3.633,3.642,4.093,4.11,4.233,4.497,4.053,3.64,0.0
p232_009.wav,4.158,,7.395,2.312,0.89,2.318,3.32,3.78,3.117,3.506,3.81,4.12,4.353,4.231,4.88,3.141,2.86,0.0
p232_010.wav,2.764,,3.45,-6.225,0.591,1.248,2.0,3.156,2.535,3.517,2.631,3.296,3.205,3.258,3.442,2.958,2.447,0.25
p232_011.wav,6.538,,17.687,11.454,0.934,3.082,4.03,4.119,3.244,3.573,3.915,3.981,3.831,4.535,4.732,4.006,3.462,0.0
p232_012.wav,4.336,,13.337,7.963,0.934,2.669,3.44,3.849,3.277,3.573,4.03,4.47,3.735,4.125,4.908,3.822,3.714,0.0
p232_013.wav,3.943,,8.976,2.783,0.908,2.057,2.9,3.617,3.184,3.602,3.785,3.612,3.997,4.142,4.393,3.393,2.694,0.0
p232_014.wav,4.617,,3.43,-1.498,0.828,1.797,2.41,3.646,3.007,3.62,3.42,3.788,3.529,4.287,3.825,3.001,2.669,0.0
p232_015.wav,5.32,,16.863,12.752,0.986,3.855,4.39,4.052,3.404,3.656,4.103,4.189,3.72,3.771,4.132,3.77,3.442,0.0
p232_016.wav,5.569,,11.884,7.923,0.978,3.551,4.26,4.121,3.248,3.601,3.931,3.994,3.894,3.778,4.451,3.869,3.472,0.0
p232_017.wav,2.889,,6.319,0.049,0.978,3.187,4.19,3.451,3.052,3.409,3.895,4.029,3.606,4.222,4.655,3.463,2.997,0.25
p232_019.wav,6.736,,2.007,-2.175,0.942,2.394,3.28,3.629,3.217,3.603,3.903,3.555,3.246,3.987,4.203,2.768,2.405,0.105
