                          count    mean    std    min     25%     50%     75%     max
DURATION                  824.0   2.515  0.890  1.238   1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN    NaN     NaN     NaN     NaN     NaN
SI-SDR                    824.0  16.501  4.612  1.249  14.349  17.408  19.753  26.065
SSNR                      824.0   8.378  3.998 -5.669   6.130   8.646  11.225  18.194
ESTOI                     824.0   0.834  0.120  0.267   0.767   0.858   0.932   0.999
PESQ_WB                   824.0   2.333  0.684  1.039   1.767   2.332   2.893   4.010
POLQA_WB                  470.0   3.478  0.745  1.350   2.930   3.510   4.098   4.750
DNSMOS_P808               824.0   3.462  0.313  2.484   3.262   3.462   3.688   4.246
DNSMOS_OVRL               824.0   3.142  0.270  1.917   3.012   3.201   3.337   3.625
DNSMOS_SIG                824.0   3.459  0.202  2.417   3.357   3.502   3.605   3.805
DNSMOS_BAK                824.0   3.947  0.286  1.649   3.882   4.033   4.120   4.243
MOS_COL                   824.0   3.590  0.380  2.423   3.337   3.601   3.854   4.627
MOS_DISC                  824.0   3.983  0.355  2.601   3.765   3.989   4.211   4.798
MOS_LOUD                  824.0   3.819  0.335  2.845   3.593   3.824   4.047   4.771
MOS_REVERB                824.0   4.401  0.324  3.257   4.216   4.444   4.657   4.932
MOS_SIG                   824.0   3.599  0.357  2.143   3.362   3.612   3.847   4.641
MOS_OVRL                  824.0   3.231  0.347  1.948   2.992   3.232   3.473   4.379
WER_QuartzNet15x5Base-En  824.0   0.101  0.187  0.000   0.000   0.000   0.143   1.000
