                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  11.894  4.945  -1.160  8.082  12.391  16.130  22.090
SSNR                      824.0   4.913  4.277 -12.129  2.083   5.218   8.021  14.753
ESTOI                     824.0   0.812  0.128   0.190  0.738   0.840   0.912   0.998
PESQ_WB                   824.0   2.173  0.703   1.048  1.589   2.104   2.688   3.986
POLQA_WB                  470.0   3.303  0.796   1.280  2.732   3.335   3.938   4.750
DNSMOS_P808               824.0   3.434  0.312   2.366  3.221   3.426   3.654   4.217
DNSMOS_OVRL               824.0   2.996  0.285   1.829  2.836   3.040   3.207   3.600
DNSMOS_SIG                824.0   3.332  0.232   2.345  3.194   3.372   3.510   3.789
DNSMOS_BAK                824.0   3.889  0.273   2.051  3.800   3.956   4.062   4.249
MOS_COL                   824.0   3.578  0.380   2.465  3.310   3.588   3.850   4.641
MOS_DISC                  824.0   3.962  0.365   2.720  3.715   3.958   4.213   4.842
MOS_LOUD                  824.0   3.815  0.348   2.767  3.575   3.819   4.063   4.698
MOS_REVERB                824.0   4.332  0.330   3.219  4.104   4.366   4.594   4.988
MOS_SIG                   824.0   3.652  0.349   2.465  3.420   3.665   3.891   4.706
MOS_OVRL                  824.0   3.261  0.332   2.255  3.050   3.260   3.474   4.457
WER_QuartzNet15x5Base-En  824.0   0.122  0.206   0.000  0.000   0.000   0.182   1.000
