                          count    mean    std     min     25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238   1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN     NaN     NaN     NaN     NaN
SI-SDR                    824.0  16.658  5.300   0.665  14.187  17.786  20.257  27.136
SSNR                      824.0   8.450  4.546 -10.750   6.108   8.786  11.516  19.620
ESTOI                     824.0   0.843  0.115   0.363   0.776   0.870   0.936   0.999
PESQ_WB                   824.0   2.426  0.719   1.055   1.845   2.454   2.986   4.304
POLQA_WB                  469.0   3.619  0.708   1.440   3.170   3.730   4.190   4.750
DNSMOS_P808               824.0   3.503  0.299   2.590   3.284   3.507   3.728   4.317
DNSMOS_OVRL               824.0   3.163  0.246   1.996   3.022   3.218   3.347   3.625
DNSMOS_SIG                824.0   3.475  0.182   2.669   3.372   3.518   3.609   3.798
DNSMOS_BAK                824.0   3.970  0.260   1.902   3.904   4.043   4.124   4.255
MOS_COL                   824.0   3.647  0.384   2.406   3.391   3.659   3.901   4.980
MOS_DISC                  824.0   4.004  0.358   2.605   3.772   3.998   4.246   4.804
MOS_LOUD                  824.0   3.815  0.334   2.662   3.587   3.822   4.040   4.866
MOS_REVERB                824.0   4.416  0.311   3.284   4.226   4.470   4.643   4.944
MOS_SIG                   824.0   3.644  0.357   2.227   3.413   3.656   3.894   4.913
MOS_OVRL                  824.0   3.284  0.359   2.059   3.046   3.285   3.532   4.928
WER_QuartzNet15x5Base-En  824.0   0.092  0.176   0.000   0.000   0.000   0.125   1.000
