FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,21.181,11.417,0.854,3.486,,3.792,3.258,3.522,4.074,3.375,3.548,3.483,3.821,3.306,3.098,0.0
p232_002.wav,2.715,,19.992,13.505,0.956,3.401,4.23,3.816,3.601,3.775,4.234,3.685,4.212,4.136,4.72,4.021,3.733,0.0
p232_003.wav,7.185,,20.93,13.11,0.933,3.07,4.22,3.973,3.354,3.591,4.135,3.744,3.796,3.88,4.856,3.784,3.492,0.05
p232_005.wav,6.247,,14.346,9.152,0.79,1.708,2.43,4.236,3.386,3.63,4.105,4.008,3.663,3.736,4.511,3.366,3.003,0.05
p232_006.wav,5.104,,18.365,12.018,0.902,2.575,3.43,4.229,3.363,3.612,4.12,4.152,3.978,4.324,4.58,4.168,3.834,0.059
p232_007.wav,3.956,,14.286,7.796,0.881,2.148,3.35,4.228,3.223,3.565,3.926,3.855,4.262,4.25,4.715,4.372,3.977,0.0
p232_009.wav,4.158,,15.87,9.046,0.901,2.376,3.4,3.861,3.341,3.613,4.067,4.211,3.731,4.266,4.578,3.836,3.414,0.0
p232_010.wav,2.764,,5.882,-1.22,0.571,1.286,2.02,3.267,2.805,3.148,3.744,3.789,3.909,3.683,4.094,3.502,3.083,0.375
p232_011.wav,6.538,,18.903,12.932,0.929,3.009,4.09,4.191,3.56,3.748,4.228,4.026,4.341,4.354,4.831,3.976,3.663,0.0
p232_012.wav,4.336,,17.742,12.327,0.896,2.706,3.51,4.075,3.458,3.712,4.118,4.588,4.068,4.342,4.792,4.396,4.154,0.0
p232_013.wav,3.943,,11.902,6.948,0.886,2.167,3.29,4.056,3.279,3.511,4.114,3.908,3.857,3.969,4.392,3.522,3.217,0.0
p232_014.wav,4.617,,13.835,8.22,0.795,1.748,2.66,4.148,3.174,3.482,3.975,3.696,3.996,3.955,4.688,3.682,3.26,0.0
p232_015.wav,5.32,,18.947,14.857,0.985,3.723,4.43,4.005,3.605,3.79,4.237,3.957,4.102,3.829,4.748,4.02,3.789,0.0
p232_016.wav,5.569,,17.842,14.786,0.975,3.39,4.33,4.231,3.502,3.708,4.167,3.738,4.033,4.173,4.375,3.728,3.373,0.0
p232_017.wav,2.889,,20.08,12.85,0.978,3.054,4.03,3.527,3.46,3.675,4.169,3.84,3.887,3.879,4.685,3.387,3.156,0.25
p232_019.wav,6.736,,18.715,12.307,0.95,2.496,3.44,3.853,3.539,3.724,4.222,4.214,3.968,4.195,4.761,4.03,3.741,0.105
p232_020.wav,3.617,,20.428,12.489,0.902,3.116,4.23,3.849,3.394,3.617,4.157,3.665,4.462,3.644,4.574,3.677,3.551,0.0
p232_021.wav,8.51,,20.195,13.976,0.934,3.154,3.72,4.186,3.373,3.662,4.018,3.916,3.799,4.234,4.603,4.18,3.78,0.0
p232_022.wav,5.794,,15.971,11.839,0.923,2.19,3.31,4.149,3.501,3.72,4.192,4.598,4.29,4.704,4.863,4.532,4.234,0.167
p232_023.wav,9.769,,14.277,8.795,0.852,1.923,2.53,4.023,3.435,3.674,4.122,4.302,3.909,4.376,4.789,4.104,3.882,0.139
p232_024.wav,5.52,,21.038,17.198,0.983,3.96,4.52,4.034,3.468,3.695,4.139,4.275,4.402,3.907,4.605,4.362,4.129,0.0
p232_025.wav,1.876,,22.667,12.876,0.94,2.788,,3.897,3.43,3.628,4.189,3.477,3.745,2.733,3.947,3.56,2.973,0.0
p232_027.wav,3.771,,21.751,15.546,0.977,3.537,4.08,4.001,3.51,3.721,4.188,4.437,3.984,4.025,4.906,3.907,3.801,0.0
p232_028.wav,2.065,,16.036,5.871,0.721,1.581,,3.474,3.091,3.399,3.95,3.348,3.726,3.469,3.843,3.588,3.168,0.0
p232_029.wav,3.415,,19.48,10.513,0.893,2.283,3.44,4.164,3.304,3.546,4.133,3.689,3.767,3.83,4.333,3.687,3.32,0.0
p232_030.wav,3.849,,19.966,13.064,0.969,2.751,3.91,3.968,3.235,3.541,3.998,4.043,4.165,3.99,4.649,3.696,3.352,0.083
p232_031.wav,2.29,,14.172,6.23,0.676,1.83,3.07,3.806,3.2,3.605,3.847,3.868,4.347,3.388,4.456,3.653,3.285,0.0
p232_032.wav,3.49,,5.38,2.015,0.632,1.295,1.95,3.272,3.237,3.512,4.066,3.711,3.682,3.677,4.715,3.788,3.366,0.545
p232_033.wav,1.448,,19.594,8.083,0.78,3.107,,3.591,3.109,3.411,3.975,3.215,4.255,3.594,4.122,3.528,3.103,0.0
p232_034.wav,1.472,,12.917,5.447,0.769,1.783,,3.254,2.83,3.216,3.664,3.984,4.245,4.306,4.568,4.115,3.482,0.0
p232_035.wav,3.158,,15.566,9.726,0.913,1.986,2.86,3.484,3.373,3.609,4.134,4.111,4.254,3.302,4.311,3.057,2.646,0.154
p232_036.wav,2.843,,8.032,3.309,0.715,1.354,2.53,3.627,2.791,3.029,3.976,3.341,4.423,4.285,4.592,3.616,3.409,0.1
p232_037.wav,3.856,,21.32,14.917,0.994,3.561,4.61,3.855,3.442,3.653,4.166,3.938,3.896,3.985,4.451,3.444,3.064,0.0
p232_038.wav,2.09,,20.88,11.502,0.894,2.723,,3.737,3.227,3.534,4.005,3.551,3.868,3.851,4.164,3.95,3.64,0.0
p232_039.wav,1.94,,18.583,7.009,0.64,2.518,,3.681,2.941,3.255,3.933,3.544,3.672,3.881,4.153,3.62,3.481,0.0
p232_040.wav,1.898,,19.437,10.246,0.984,2.905,,3.484,3.31,3.581,4.082,3.523,4.47,4.425,4.224,3.727,3.37,0.0
p232_041.wav,2.007,,18.306,9.079,0.842,2.619,,3.428,3.225,3.438,4.14,3.539,3.937,3.627,4.05,3.733,3.371,0.0
p232_042.wav,2.514,,21.555,12.936,0.986,3.185,4.22,4.076,3.512,3.742,4.157,3.395,4.233,3.99,4.302,3.21,2.952,0.0
p232_043.wav,1.96,,14.354,5.065,0.759,2.313,,3.261,3.445,3.684,4.148,3.737,3.998,4.101,4.375,3.533,3.176,0.0
p232_044.wav,1.383,,12.728,4.166,0.679,1.274,,3.193,2.44,2.956,3.331,2.97,3.19,3.306,3.528,3.085,2.852,0.0
p232_045.wav,1.238,,17.766,8.563,0.878,3.809,,3.428,3.07,3.327,4.078,3.171,3.645,3.606,3.892,3.054,2.628,0.0
p232_046.wav,1.416,,19.169,7.473,0.757,2.091,,3.343,3.133,3.418,4.04,3.1,3.681,3.512,4.071,3.744,3.309,0.0
p232_047.wav,1.926,,17.601,8.33,0.844,1.976,,3.22,3.181,3.467,4.004,3.595,4.248,3.168,4.436,3.183,2.963,0.0
p232_048.wav,1.82,,15.517,4.385,0.595,1.6,,3.395,3.077,3.593,3.601,3.18,3.297,3.681,4.398,2.334,2.072,0.2
p232_049.wav,2.941,,21.926,14.66,0.956,3.018,3.93,3.933,3.383,3.646,4.066,4.4,4.395,4.005,4.827,3.948,3.719,0.0
p232_050.wav,1.733,,15.561,6.15,0.806,1.634,,3.263,3.081,3.359,4.036,3.582,4.185,3.353,4.265,3.328,2.979,0.0
p232_051.wav,1.476,,8.758,0.471,0.728,1.457,,3.296,3.151,3.422,4.032,3.507,4.213,3.685,4.204,4.01,3.627,0.75
p232_052.wav,2.199,,4.424,-1.484,0.514,1.157,,2.776,2.654,3.148,3.376,3.878,3.886,3.242,3.998,2.968,2.991,0.429
p232_053.wav,1.644,,19.848,10.086,0.919,2.876,,3.76,3.178,3.386,4.153,3.63,3.42,3.534,4.204,3.887,3.398,0.0
p232_054.wav,3.706,,18.774,11.746,0.945,2.329,3.49,3.74,3.056,3.514,3.676,3.551,3.643,4.165,4.254,3.572,3.383,0.182
p232_055.wav,1.526,,17.063,7.711,0.788,2.876,,3.942,2.862,3.137,3.939,3.44,4.108,3.704,4.54,3.311,3.045,0.0
p232_056.wav,1.803,,7.353,-0.505,0.728,1.655,,3.008,2.516,2.818,3.749,3.126,3.679,3.533,3.863,3.31,2.8,0.0
p232_057.wav,2.236,,20.707,11.349,0.927,2.69,4.19,3.71,3.055,3.335,4.014,3.6,3.698,4.3,4.453,2.661,2.431,0.0
p232_058.wav,3.899,,17.773,14.191,0.942,3.314,3.93,4.154,3.46,3.675,4.158,4.307,4.109,3.881,4.571,4.197,3.999,0.0
p232_059.wav,1.32,,18.92,6.884,0.723,2.343,,3.04,3.14,3.4,4.042,3.259,3.924,3.33,4.164,3.569,3.194,0.0
p232_060.wav,2.34,,17.023,7.982,0.768,2.601,2.66,3.385,3.151,3.437,4.041,3.902,4.046,3.259,3.701,3.754,3.264,0.0
p232_061.wav,3.249,,21.212,13.855,0.964,3.103,3.65,4.054,3.405,3.614,4.172,4.148,3.804,3.709,4.726,3.549,3.286,0.0
p232_062.wav,2.964,,19.557,10.395,0.904,2.273,3.24,3.443,3.153,3.629,3.676,3.337,3.803,3.573,4.457,3.777,3.396,0.111
p232_063.wav,2.264,,17.451,8.267,0.952,1.846,3.8,3.865,3.126,3.422,4.017,3.547,4.366,3.871,4.271,3.867,3.495,0.2
p232_064.wav,2.01,,14.61,5.34,0.89,2.401,,3.503,3.117,3.34,4.108,3.111,4.13,3.895,3.862,3.805,3.167,0.0
p232_065.wav,1.524,,18.559,8.119,0.876,2.88,,3.418,2.956,3.218,4.07,3.83,3.848,3.3,4.26,4.056,3.559,0.0
p232_066.wav,3.277,,17.939,13.036,0.938,2.695,4.24,3.623,2.766,3.415,3.179,3.783,3.905,3.903,4.785,3.83,3.308,0.0
p232_067.wav,2.617,,21.364,12.292,0.925,3.014,3.87,3.593,3.407,3.651,4.141,4.086,4.412,3.77,4.651,3.077,3.0,0.167
p232_068.wav,2.522,,17.764,12.242,0.914,2.832,4.01,3.828,3.248,3.525,4.045,3.749,4.199,3.186,4.547,3.958,3.541,0.0
p232_069.wav,2.669,,19.069,11.432,0.902,2.485,3.82,3.93,3.143,3.468,3.955,4.0,3.828,3.796,4.275,4.139,3.572,0.143
p232_070.wav,2.544,,14.979,8.498,0.86,2.274,2.74,3.89,3.328,3.561,4.131,3.5,3.91,3.666,4.231,3.638,3.332,0.0
p232_071.wav,2.589,,13.567,5.664,0.717,1.515,2.68,3.076,3.191,3.519,3.956,3.427,4.052,3.768,4.324,3.584,3.262,0.286
p232_072.wav,1.987,,4.083,-1.966,0.664,1.412,,3.53,2.792,3.235,3.563,3.47,4.017,3.878,4.29,3.739,3.239,0.2
p232_073.wav,1.908,,17.8,6.076,0.97,2.133,,3.845,3.246,3.529,4.05,3.354,4.222,3.374,4.43,3.408,3.214,0.0
p232_074.wav,2.21,,20.466,9.219,0.838,2.325,2.62,3.226,3.403,3.693,4.022,3.52,4.031,3.873,4.779,3.637,3.012,0.0
p232_075.wav,2.346,,14.814,6.704,0.909,2.131,3.36,3.944,3.01,3.279,4.004,3.889,4.333,3.29,4.76,3.749,3.555,0.2
p232_076.wav,1.927,,5.486,-0.993,0.633,1.245,,3.115,3.228,3.512,4.021,3.361,3.849,3.632,4.57,3.806,3.417,0.25
p232_077.wav,1.742,,17.743,7.907,0.865,3.454,,3.555,3.103,3.34,4.101,3.48,3.703,3.496,4.095,3.805,3.546,0.0
p232_078.wav,2.261,,20.412,12.323,0.984,3.246,4.44,3.85,3.356,3.594,4.143,3.856,3.929,3.635,4.558,3.587,3.349,0.167
p232_079.wav,2.394,,16.421,10.537,0.891,2.527,3.67,3.843,3.232,3.486,4.101,3.839,4.764,3.959,4.537,3.862,3.664,0.0
p232_080.wav,2.08,,17.014,4.362,0.84,1.455,,3.033,2.911,3.318,3.784,3.115,4.028,3.838,4.539,3.344,2.94,0.0
p232_081.wav,1.885,,20.886,13.576,0.889,2.872,,3.766,3.385,3.62,4.158,3.144,3.694,3.532,4.058,3.507,3.04,0.0
p232_082.wav,1.559,,13.698,3.639,0.598,1.512,,3.126,2.412,3.494,2.463,3.149,3.824,3.348,4.07,2.945,2.69,0.333
p232_083.wav,1.661,,16.939,7.908,0.874,2.113,,3.284,3.441,3.664,4.185,3.537,3.622,3.379,4.014,3.209,2.908,0.0
p232_084.wav,1.391,,14.189,4.921,0.687,1.607,,3.314,3.219,3.495,4.039,3.785,4.38,4.173,3.858,3.732,3.259,0.5
p232_085.wav,2.067,,18.787,11.44,0.985,3.692,,3.668,3.319,3.563,4.121,3.519,4.265,3.655,4.8,3.887,3.472,0.0
p232_086.wav,1.968,,22.216,12.936,0.951,3.264,,3.924,3.47,3.696,4.164,3.49,4.087,3.463,4.362,3.404,3.131,0.0
p232_087.wav,1.978,,22.222,11.892,0.869,2.957,,3.794,3.206,3.577,3.88,3.856,4.354,4.363,4.614,3.902,3.558,0.0
p232_088.wav,2.924,,18.705,11.79,0.874,2.206,3.15,3.885,3.165,3.495,3.952,3.698,4.047,3.427,4.297,3.786,3.396,0.111
p232_089.wav,2.234,,18.296,10.752,0.866,2.75,3.39,3.672,3.313,3.543,4.127,3.323,4.153,3.466,4.206,3.897,3.3,0.0
p232_090.wav,3.943,,13.619,7.403,0.85,2.039,2.72,3.789,3.303,3.619,4.008,4.466,4.693,4.29,4.794,4.273,4.15,0.167
p232_091.wav,1.563,,11.937,5.149,0.81,1.685,,2.92,3.083,3.287,4.084,3.464,3.7,3.892,3.72,2.806,2.453,0.0
p232_092.wav,1.968,,7.67,1.67,0.731,1.798,,3.208,2.862,3.346,3.535,3.797,3.59,4.116,4.475,3.656,3.269,0.0
p232_093.wav,2.221,,18.592,10.664,0.842,2.594,4.28,3.87,3.311,3.557,4.078,4.236,4.399,3.855,4.72,4.311,3.952,0.0
p232_094.wav,2.816,,15.028,7.609,0.88,2.403,3.52,4.155,3.088,3.375,4.017,3.667,3.97,4.163,4.273,3.903,3.452,0.0
p232_095.wav,3.574,,10.569,5.683,0.763,1.306,1.99,3.86,3.242,3.553,3.969,3.737,3.677,3.593,4.598,3.686,3.06,0.25
p232_096.wav,1.678,,9.576,1.58,0.568,1.215,,2.853,2.879,3.317,3.621,3.145,2.995,2.965,3.956,2.59,2.282,0.25
p232_097.wav,2.705,,18.739,11.357,0.957,2.792,4.03,3.929,3.242,3.579,3.884,4.005,3.971,3.173,4.505,3.776,3.277,0.0
