                          count    mean    std    min     25%     50%     75%     max
DURATION                  824.0   2.515  0.890  1.238   1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN    NaN     NaN     NaN     NaN     NaN
SI-SDR                    824.0  16.678  4.884  2.098  14.495  17.683  20.016  26.498
SSNR                      824.0   8.466  4.154 -6.337   6.177   8.698  11.259  18.753
ESTOI                     824.0   0.839  0.117  0.358   0.775   0.864   0.931   0.999
PESQ_WB                   824.0   2.377  0.708  1.046   1.779   2.391   2.946   4.022
POLQA_WB                  470.0   3.531  0.748  1.400   3.020   3.630   4.140   4.750
DNSMOS_P808               824.0   3.482  0.320  2.422   3.268   3.496   3.714   4.308
DNSMOS_OVRL               824.0   3.159  0.263  1.800   3.013   3.212   3.353   3.650
DNSMOS_SIG                824.0   3.466  0.197  2.756   3.357   3.513   3.612   3.820
DNSMOS_BAK                824.0   3.974  0.262  1.918   3.907   4.046   4.135   4.255
MOS_COL                   824.0   3.636  0.368  2.537   3.377   3.638   3.926   4.555
MOS_DISC                  824.0   3.992  0.356  2.441   3.762   3.992   4.233   4.860
MOS_LOUD                  824.0   3.811  0.328  2.800   3.576   3.810   4.021   4.825
MOS_REVERB                824.0   4.406  0.318  3.146   4.190   4.451   4.663   4.937
MOS_SIG                   824.0   3.630  0.366  2.189   3.390   3.641   3.884   4.637
MOS_OVRL                  824.0   3.271  0.368  1.954   3.039   3.274   3.534   4.471
WER_QuartzNet15x5Base-En  824.0   0.099  0.185  0.000   0.000   0.000   0.143   1.000
