                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.934  5.736  -3.226  5.371  10.339  15.338  26.149
SSNR                      824.0  1.842  5.958 -16.818 -2.571   2.075   6.490  17.855
ESTOI                     824.0  0.836  0.117   0.368  0.763   0.859   0.928   0.999
PESQ_WB                   824.0  2.298  0.740   1.038  1.672   2.254   2.867   4.277
POLQA_WB                  470.0  3.519  0.701   1.540  3.020   3.580   4.085   4.750
DNSMOS_P808               824.0  3.326  0.327   2.423  3.091   3.321   3.566   4.203
DNSMOS_OVRL               824.0  2.976  0.269   1.435  2.832   3.012   3.161   3.494
DNSMOS_SIG                824.0  3.468  0.174   1.947  3.384   3.500   3.584   3.810
DNSMOS_BAK                824.0  3.628  0.408   1.417  3.444   3.738   3.922   4.184
MOS_COL                   824.0  3.647  0.462   2.172  3.336   3.660   3.978   4.858
MOS_DISC                  824.0  3.671  0.487   2.317  3.324   3.707   4.038   4.881
MOS_LOUD                  824.0  3.739  0.356   2.514  3.494   3.746   3.980   4.925
MOS_REVERB                824.0  4.158  0.366   2.956  3.925   4.196   4.424   4.965
MOS_SIG                   824.0  3.356  0.444   1.889  3.064   3.383   3.657   4.871
MOS_OVRL                  824.0  2.901  0.472   1.552  2.572   2.944   3.238   4.882
WER_QuartzNet15x5Base-En  824.0  0.081  0.165   0.000  0.000   0.000   0.100   1.500
