                          count    mean    std    min     25%     50%     75%     max
DURATION                  824.0   2.515  0.890  1.238   1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN    NaN     NaN     NaN     NaN     NaN
SI-SDR                    824.0  15.886  4.479  2.276  13.619  16.866  19.071  25.848
SSNR                      824.0   7.970  3.889 -5.390   5.776   8.264  10.752  17.730
ESTOI                     824.0   0.830  0.122  0.319   0.766   0.853   0.927   0.999
PESQ_WB                   824.0   2.300  0.678  1.037   1.759   2.288   2.855   4.048
POLQA_WB                  469.0   3.450  0.754  1.410   2.920   3.510   4.030   4.750
DNSMOS_P808               824.0   3.466  0.314  2.545   3.263   3.459   3.685   4.236
DNSMOS_OVRL               824.0   3.118  0.265  1.880   2.974   3.152   3.314   3.605
DNSMOS_SIG                824.0   3.440  0.195  2.525   3.331   3.474   3.586   3.798
DNSMOS_BAK                824.0   3.935  0.286  1.865   3.880   4.011   4.108   4.255
MOS_COL                   824.0   3.581  0.378  2.173   3.334   3.582   3.815   4.639
MOS_DISC                  824.0   4.009  0.355  2.813   3.776   4.001   4.260   4.933
MOS_LOUD                  824.0   3.822  0.333  2.655   3.606   3.811   4.054   4.704
MOS_REVERB                824.0   4.394  0.304  3.335   4.188   4.435   4.628   4.914
MOS_SIG                   824.0   3.603  0.347  2.334   3.370   3.609   3.839   4.532
MOS_OVRL                  824.0   3.234  0.343  2.072   3.001   3.240   3.461   4.234
WER_QuartzNet15x5Base-En  824.0   0.103  0.194  0.000   0.000   0.000   0.143   1.000
