                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.333  5.718  -3.177  4.829  9.749  14.211  23.945
SSNR                      824.0  1.085  6.125 -16.745 -3.641  1.088   6.115  17.462
ESTOI                     824.0  0.832  0.124   0.303  0.761  0.859   0.928   0.999
PESQ_WB                   824.0  2.198  0.725   1.032  1.556  2.180   2.763   4.366
POLQA_WB                  470.0  3.434  0.728   1.480  2.912  3.520   3.980   4.750
DNSMOS_P808               824.0  3.297  0.345   2.310  3.068  3.291   3.556   4.159
DNSMOS_OVRL               824.0  2.931  0.335   1.082  2.816  2.997   3.136   3.444
DNSMOS_SIG                824.0  3.437  0.273   1.202  3.374  3.496   3.578   3.790
DNSMOS_BAK                824.0  3.562  0.503   1.133  3.380  3.688   3.896   4.175
MOS_COL                   824.0  3.617  0.432   2.325  3.336  3.643   3.939   4.650
MOS_DISC                  824.0  3.609  0.521   2.185  3.234  3.612   3.994   4.898
MOS_LOUD                  824.0  3.732  0.373   2.578  3.505  3.726   3.987   4.876
MOS_REVERB                824.0  4.095  0.391   2.673  3.817  4.114   4.397   4.905
MOS_SIG                   824.0  3.251  0.426   2.094  2.934  3.243   3.550   4.656
MOS_OVRL                  824.0  2.793  0.469   1.576  2.466  2.830   3.150   4.089
WER_QuartzNet15x5Base-En  824.0  0.083  0.161   0.000  0.000  0.000   0.114   1.000
