                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.405  5.860  -3.183  4.742  10.050  14.693  27.192
SSNR                      824.0  1.204  6.269 -16.757 -3.476   1.240   6.194  19.704
ESTOI                     824.0  0.831  0.126   0.293  0.763   0.857   0.931   0.999
PESQ_WB                   824.0  2.201  0.731   1.034  1.585   2.156   2.767   4.315
POLQA_WB                  470.0  3.438  0.724   1.560  2.950   3.530   3.960   4.750
DNSMOS_P808               824.0  3.300  0.345   2.321  3.068   3.301   3.562   4.106
DNSMOS_OVRL               824.0  2.932  0.347   1.072  2.819   3.000   3.149   3.481
DNSMOS_SIG                824.0  3.429  0.279   1.226  3.366   3.487   3.569   3.792
DNSMOS_BAK                824.0  3.574  0.522   1.131  3.423   3.721   3.912   4.189
MOS_COL                   824.0  3.623  0.461   2.281  3.311   3.661   3.963   4.718
MOS_DISC                  824.0  3.633  0.488   2.279  3.262   3.655   3.981   4.848
MOS_LOUD                  824.0  3.726  0.374   2.524  3.472   3.737   3.982   4.760
MOS_REVERB                824.0  4.090  0.383   2.855  3.813   4.114   4.372   4.867
MOS_SIG                   824.0  3.239  0.425   1.887  2.941   3.240   3.518   4.647
MOS_OVRL                  824.0  2.794  0.471   1.464  2.494   2.844   3.107   4.358
WER_QuartzNet15x5Base-En  824.0  0.076  0.154   0.000  0.000   0.000   0.100   1.000
