                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.362  5.835  -3.184  4.734  10.083  14.339  26.752
SSNR                      824.0  1.136  6.225 -16.743 -3.769   1.348   6.282  19.854
ESTOI                     824.0  0.836  0.120   0.279  0.767   0.861   0.930   0.999
PESQ_WB                   824.0  2.229  0.724   1.041  1.595   2.230   2.789   4.318
POLQA_WB                  470.0  3.488  0.680   1.700  3.002   3.560   3.990   4.750
DNSMOS_P808               824.0  3.332  0.325   2.229  3.124   3.326   3.559   4.117
DNSMOS_OVRL               824.0  2.959  0.311   1.090  2.849   3.006   3.147   3.468
DNSMOS_SIG                824.0  3.446  0.247   1.202  3.385   3.492   3.580   3.783
DNSMOS_BAK                824.0  3.610  0.463   1.124  3.466   3.730   3.908   4.191
MOS_COL                   824.0  3.676  0.444   2.270  3.370   3.686   4.011   4.718
MOS_DISC                  824.0  3.671  0.493   2.093  3.337   3.684   4.032   4.934
MOS_LOUD                  824.0  3.752  0.355   2.734  3.524   3.748   3.979   4.866
MOS_REVERB                824.0  4.101  0.379   2.840  3.844   4.123   4.376   4.879
MOS_SIG                   824.0  3.308  0.411   2.076  3.043   3.310   3.593   4.663
MOS_OVRL                  824.0  2.868  0.446   1.573  2.559   2.898   3.190   4.438
WER_QuartzNet15x5Base-En  824.0  0.078  0.159   0.000  0.000   0.000   0.100   1.000
