FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,15.486,6.238,0.829,2.911,,3.436,3.288,3.602,4.027,3.629,3.465,3.296,3.814,3.393,3.121,0.0
p232_002.wav,2.715,,11.343,5.896,0.951,3.496,4.37,3.679,3.259,3.613,3.91,4.418,3.686,3.847,4.367,4.347,3.775,0.0
p232_003.wav,7.185,,6.738,-0.195,0.931,2.981,4.18,3.834,3.11,3.512,3.822,3.54,3.862,3.775,4.594,3.55,3.186,0.05
p232_005.wav,6.247,,1.971,-2.75,0.772,1.522,2.5,3.493,2.574,3.58,2.629,3.794,3.2,3.466,4.037,2.744,2.304,0.0
p232_006.wav,5.104,,17.454,11.416,0.908,2.656,3.64,4.059,3.202,3.525,3.952,3.835,3.875,4.182,4.493,3.598,3.255,0.059
p232_007.wav,3.956,,13.789,7.432,0.929,2.47,3.48,4.052,3.281,3.623,3.917,4.135,4.722,4.311,4.719,3.796,3.315,0.0
p232_009.wav,4.158,,6.967,1.987,0.89,2.229,3.28,3.74,2.906,3.539,3.331,3.469,4.502,3.644,4.706,3.395,3.11,0.0
p232_010.wav,2.764,,2.802,-7.387,0.598,1.392,2.3,3.111,2.203,3.376,2.106,3.678,3.163,3.492,3.328,2.772,2.409,0.125
p232_011.wav,6.538,,18.064,12.076,0.937,2.957,4.03,4.098,3.357,3.637,4.039,3.915,4.014,4.499,4.751,3.825,3.322,0.0
p232_012.wav,4.336,,13.503,8.029,0.937,2.608,3.49,3.846,3.211,3.592,3.873,4.533,3.624,4.2,4.54,3.941,3.536,0.0
p232_013.wav,3.943,,9.062,2.877,0.919,2.127,3.15,3.852,3.188,3.514,3.972,4.285,3.395,3.904,4.435,3.517,2.836,0.0
p232_014.wav,4.617,,3.52,-1.326,0.84,1.797,2.66,3.594,3.056,3.653,3.49,3.374,3.375,3.835,4.214,2.949,2.593,0.0
p232_015.wav,5.32,,16.95,12.811,0.987,3.691,4.25,3.941,3.436,3.676,4.124,4.173,3.531,3.871,4.111,3.902,3.568,0.0
p232_016.wav,5.569,,11.981,8.004,0.98,3.52,4.12,4.119,3.281,3.634,3.942,3.749,3.642,3.926,4.404,3.656,3.251,0.0
p232_017.wav,2.889,,6.434,0.196,0.978,2.96,4.13,3.414,3.084,3.457,3.873,4.056,3.735,4.264,4.574,3.228,2.754,0.25
p232_019.wav,6.736,,2.075,-2.347,0.945,2.343,3.29,3.594,3.136,3.624,3.71,3.973,3.008,4.094,4.291,2.874,2.517,0.0
p232_020.wav,3.617,,17.451,10.127,0.907,3.161,4.13,3.819,3.319,3.648,3.982,3.727,4.369,3.828,4.821,3.518,3.208,0.0
p232_021.wav,8.51,,12.087,8.556,0.951,3.029,3.81,4.083,3.186,3.585,3.799,4.11,3.821,4.196,4.669,3.77,3.409,0.0
p232_022.wav,5.794,,7.529,3.288,0.929,2.13,3.23,3.775,3.122,3.652,3.608,4.011,3.781,4.336,4.49,3.263,2.729,0.056
p232_023.wav,9.769,,2.624,-3.27,0.87,1.641,2.59,3.353,2.961,3.694,3.243,3.69,3.236,3.877,4.106,2.657,2.49,0.111
p232_024.wav,5.52,,17.263,13.95,0.992,3.985,4.59,3.994,3.265,3.612,3.883,4.67,4.667,4.128,4.692,4.685,4.328,0.0
p232_025.wav,1.876,,10.666,0.251,0.938,2.952,,3.719,3.236,3.596,3.95,4.204,3.625,3.14,3.579,3.488,2.958,0.0
p232_027.wav,3.771,,6.762,1.733,0.976,3.291,4.03,3.861,3.205,3.63,3.834,3.646,3.961,3.924,4.718,3.43,3.101,0.0
p232_028.wav,2.065,,0.399,-12.261,0.68,1.923,,3.425,2.759,3.46,3.262,3.319,3.311,3.173,4.115,3.286,2.703,0.0
p232_029.wav,3.415,,18.262,8.643,0.921,2.611,3.36,3.966,3.108,3.539,3.782,4.322,3.753,4.379,4.713,3.641,3.048,0.0
p232_030.wav,3.849,,12.176,7.86,0.974,2.754,3.92,3.81,3.185,3.523,3.932,4.14,3.444,3.618,4.098,3.603,3.308,0.0
p232_031.wav,2.29,,5.822,-2.523,0.701,1.926,2.98,3.59,3.072,3.449,3.863,4.422,3.244,3.335,3.569,3.51,3.376,0.0
p232_032.wav,3.49,,4.22,-1.053,0.692,1.323,2.05,3.156,2.865,3.639,3.201,3.818,3.754,4.015,4.209,3.206,2.457,0.364
p232_033.wav,1.448,,15.709,3.619,0.801,2.821,,3.453,2.807,3.321,3.526,3.685,3.895,3.671,4.079,3.426,3.109,0.0
p232_034.wav,1.472,,11.639,2.096,0.732,2.133,,3.41,3.022,3.564,3.585,3.52,3.914,3.305,4.421,3.746,3.182,0.0
p232_035.wav,3.158,,8.663,3.035,0.931,2.019,3.02,3.366,3.225,3.668,3.829,3.867,3.918,3.921,4.285,3.568,2.85,0.154
p232_036.wav,2.843,,3.414,-3.317,0.79,1.623,2.41,3.387,2.912,3.423,3.569,3.096,3.804,3.337,3.662,2.981,2.664,0.0
p232_037.wav,3.856,,16.564,11.626,0.995,3.684,4.53,3.797,3.35,3.601,4.105,4.262,3.285,4.035,4.284,3.555,3.111,0.0
